at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
TEKFORD ACL,9. Koşu,7.37,1400,Kum,57.3,56.6,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:33% / stil_2:33% / stil_3:33% / stil_4:0%,33,33,33,0,12,stil_1,
BUSE,9. Koşu,7.40,1500,Sentetik,55.3,58.0,İstanbul,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:54% / stil_2:38% / stil_3:8% / stil_4:0%,54,38,8,0,13,stil_1,
ÖN BİRLİK,9. Koşu,7.41,2000,Kum,60.0,58.2,İstanbul,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:25% / stil_2:38% / stil_3:38% / stil_4:0%,25,38,38,0,8,stil_2,
YÜREĞİ GÜZEL,9. Koşu,7.41,1600,Kum,54.0,58.0,İzmir,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:24% / stil_2:41% / stil_3:35% / stil_4:0%,24,41,35,0,17,stil_2,
KAYAARSEN,9. Koşu,7.46,1400,Kum,56.1,58.0,İzmir,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:38% / stil_2:31% / stil_3:31% / stil_4:0%,38,31,31,0,13,stil_1,
TAYAKADIN,9. Koşu,7.61,1200,Sentetik,56.7,55.0,Antalya,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:0% / stil_2:100% / stil_3:0% / stil_4:0%,0,100,0,0,1,stil_2,
KENANIN KIZI,9. Koşu,7.64,1200,Sentetik,51.5,54.4,Antalya,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:8% / stil_2:42% / stil_3:50% / stil_4:0%,8,42,50,0,26,stil_3,
BİRGEDAĞ,9. Koşu,7.74,1400,Kum,56.3,58.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:50% / stil_2:33% / stil_3:17% / stil_4:0%,50,33,17,0,6,stil_1,
TEKOŞEN,9. Koşu,7.80,1400,Kum,57.0,56.0,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:0% / stil_2:75% / stil_3:25% / stil_4:0%,0,75,25,0,4,stil_2,
MUNİSHANIM,9. Koşu,8.09,1400,Kum,56.0,56.2,Bursa,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:37% / stil_2:21% / stil_3:37% / stil_4:5%,37,21,37,5,19,stil_1,
KANATLANAN,9. Koşu,8.23,1500,Sentetik,55.7,56.8,İstanbul,ok,https://yenibeygir.com/27-04-2026/bursa/9/stiller,stil_1:29% / stil_2:0% / stil_3:43% / stil_4:29%,29,0,43,29,7,stil_3,
