horse_age,horse_weight,handicap_weight,total_weight,start_position,race_distance,career_total_races,career_avg_finish,career_avg_time,last_race_days_ago,last_1_avg_finish,last_1_best_finish,last_1_worst_finish,last_1_std_finish,last_1_avg_time,last_1_std_time,last_1_win_rate,last_1_top3_rate,last_3_avg_finish,last_3_best_finish,last_3_worst_finish,last_3_std_finish,last_3_avg_time,last_3_std_time,last_3_win_rate,last_3_top3_rate,last_5_avg_finish,last_5_best_finish,last_5_worst_finish,last_5_std_finish,last_5_avg_time,last_5_std_time,last_5_win_rate,last_5_top3_rate,last_10_avg_finish,last_10_best_finish,last_10_worst_finish,last_10_std_finish,last_10_avg_time,last_10_std_time,last_10_win_rate,last_10_top3_rate,performance_trend,track_type_races,track_type_avg_time,distance_races,distance_avg_finish,distance_avg_time,city_races,city_avg_finish,total_track_experience,distance_variety,form_length,form_avg,form_best,form_worst,form_consistency,recent_form_trend,ganyan,agf,kgs,ganyan_log,is_favorite,jockey_id,trainer_id,owner_id,father_id,mother_id,races_last_30_days,races_last_60_days,races_last_90_days,race_id,race_date,race_city,race_track_type,horse_id,horse_name
3,54,30,84,8,1400,10,8.5,115.2,1679,12.0,12,12,0,142.67,0,0.0,0.0,10.0,7,12,2.160246899469287,110.63333333333333,25.7463425665774,0.0,0.0,8.8,5,12,2.5612496949731396,115.79399999999998,20.93148117071508,0.0,0.0,8.5,1,13,3.3241540277189325,115.197,23.003528881456422,0.1,0.1,-2.333333333333333,5,124.15,1,1.0,97.54,3,7.67,10,6,6,4.333333333333333,2,8,1.9720265943665387,3,5.1,14.0,20,1.8082887711792655,0,2496,2580,9953,17893,20703,0,0,0,182205,2021-01-04,Urfa,Kum,80456,MERVE ANA
3,54,13,67,4,1400,11,6.82,105.99,1681,14.0,14,14,0,121.89,0,0.0,0.0,10.666666666666666,7,14,2.8674417556808756,103.39666666666666,13.10701169433962,0.0,0.0,10.4,7,14,2.5768197453450252,119.68800000000002,22.817708386251233,0.0,0.0,7.3,1,14,3.950949253027682,106.69500000000001,22.999206616750936,0.1,0.2,-3.666666666666666,11,105.99,4,7.0,96.3,10,6.8,11,6,5,5.6,0,9,3.1368774282716245,3,24.5,2.0,22,3.2386784521643803,0,2711,2580,15291,26144,15521,0,0,0,182205,2021-01-04,Urfa,Kum,82217,THE LAST FIRE
3,58,9,67,3,1400,2,10.0,97.59,1846,10.0,10,10,0,83.99,0,0.0,0.0,10.0,10,10,0.0,97.595,13.605000000000004,0.0,0.0,10.0,10,10,0.0,97.595,13.605000000000004,0.0,0.0,10.0,10,10,0.0,97.595,13.605000000000004,0.0,0.0,0.0,2,97.59,1,10.0,111.2,2,10.0,2,2,6,5.666666666666667,0,8,2.6874192494328497,0,37.25,1.0,20,3.644143560272545,0,1076,2419,11813,15983,28990,0,0,0,182205,2021-01-04,Urfa,Kum,90679,ZARİP
3,58,16,74,1,1400,8,5.75,121.14,1771,14.0,14,14,0,0.0,0,0.0,0.0,8.666666666666666,6,14,3.7712361663282534,133.17000000000002,5.010000000000005,0.0,0.0,6.8,4,14,3.7094473981982814,130.625,4.3647766265869805,0.0,0.0,5.75,1,14,3.491060010942235,121.14142857142858,14.638613740545857,0.125,0.125,-3.999999999999999,8,121.14,2,9.5,99.01,1,5.0,8,4,6,4.833333333333333,0,9,3.7601713908928263,-8,9.0,0.0,16,2.302585092994046,0,540,2366,14333,20219,15928,0,0,0,182206,2021-01-04,Urfa,Kum,85701,ALMİRA LİNDA
3,58,0,58,3,1400,12,5.92,94.97,1681,11.0,11,11,0,85.04,0,0.0,0.0,7.0,1,11,4.320493798938574,90.48666666666668,3.8855744606028173,0.3333333333333333,0.3333333333333333,7.2,1,11,3.3704599092705436,95.07400000000001,15.09481182393474,0.2,0.2,5.7,1,11,3.0675723300355937,91.1,12.258500723987417,0.1,0.3,-0.666666666666667,11,96.3,4,6.0,96.87,11,5.82,12,4,2,5.5,5,6,0.5,0,8.4,0.0,20,2.2407096892759584,0,267,1600,11503,15983,30198,0,0,0,182206,2021-01-04,Urfa,Kum,85512,ALTUN BİR
3,56,5,61,5,1400,1,10.0,112.73,1856,10.0,10,10,0,112.73,0,0.0,0.0,10.0,10,10,0.0,112.73,0.0,0.0,0.0,10.0,10,10,0.0,112.73,0.0,0.0,0.0,10.0,10,10,0.0,112.73,0.0,0.0,0.0,0.0,1,112.73,1,10.0,112.73,1,10.0,1,1,3,0.0,0,0,0.0,0,52.85,0.0,34,3.9862024036023977,0,1339,1600,368,20219,25763,0,0,0,182206,2021-01-04,Urfa,Kum,93689,AYDENİZ ÇİÇEĞİ
3,55,25,80,11,1400,2,11.0,,1827,11.0,11,11,0,0.0,0,0.0,0.0,11.0,11,11,0.0,0.0,0.0,0.0,0.0,11.0,11,11,0.0,0.0,0.0,0.0,0.0,11.0,11,11,0.0,0.0,0.0,0.0,0.0,0.0,2,,2,11.0,,1,11.0,2,1,6,3.0,0,8,2.70801280154532,3,12.85,0.0,20,2.6282852326333477,0,2263,2721,10860,15569,30169,0,0,0,182206,2021-01-04,Urfa,Kum,81709,CELEBORN
3,58,22,80,2,1400,13,9.08,104.09,1575,13.0,13,13,0,0.0,0,0.0,0.0,14.666666666666666,13,16,1.247219128924647,146.22,0.0,0.0,0.0,14.4,11,17,2.1540659228538015,120.425,25.795,0.0,0.0,10.4,1,17,5.122499389946279,108.9157142857143,28.143757926120696,0.1,0.1,-4.0,13,104.09,2,5.5,98.41,9,7.44,13,5,6,3.3333333333333335,0,5,1.699673171197595,0,6.4,0.0,22,2.0014800002101243,0,1093,2703,10331,15956,18739,0,0,0,182206,2021-01-04,Urfa,Kum,91235,EHRİMAN
3,58,28,86,4,1400,11,8.18,100.23,1730,7.0,7,7,0,140.38,0,0.0,0.0,7.666666666666667,7,8,0.4714045207910317,120.40666666666665,28.871048166324375,0.0,0.0,8.8,7,12,1.7204650534085253,110.28600000000002,25.720145878279926,0.0,0.0,8.9,1,15,3.8587562763149474,100.554,21.33732045032834,0.1,0.1,2.333333333333333,11,100.23,4,7.0,97.8,10,8.1,11,4,4,1.75,0,3,1.0897247358851685,2,4.25,0.0,8,1.6582280766035324,1,1076,2366,9536,22331,8084,0,0,0,182206,2021-01-04,Urfa,Kum,82098,LUCKY WIND
3,54,25,79,8,1400,10,7.4,107.44,1762,14.0,14,14,0,129.39,0,0.0,0.0,9.333333333333334,7,14,3.2998316455372216,100.71333333333332,20.49352146953329,0.0,0.0,9.2,5,14,3.6,107.90599999999999,19.663813058509273,0.0,0.0,7.4,3,14,3.411744421846396,107.439,18.2600955364423,0.0,0.1,-1.666666666666667,10,107.44,2,7.5,101.41,7,7.57,10,6,6,3.6666666666666665,2,5,0.9428090415820634,1,6.8,0.0,22,2.0541237336955462,0,2717,2580,9953,26144,14879,0,0,0,182206,2021-01-04,Urfa,Kum,82300,MERVE ABLA
