At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
ASLAN KILICI,,7.06,1900,Kum,61,57.5,İzmir,1,98551,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %35, on-grup %58, onde %0.",2/31 (6%) | 11/31 (35%) | 18/31 (58%) | 0/31 (0%),,,0.64,https://yenibeygir.com/at/98551/aslan-kilici,bulundu
FERMAN YAZAR,,7.07,1900,Kum,57,56,İzmir,7,101610,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %71, onde %12.",0/24 (0%) | 4/24 (17%) | 17/24 (71%) | 3/24 (12%),Nem,,3.62,https://yenibeygir.com/at/101610/ferman-yazar,bulundu
KUTADGU,,7.11,1500,Kum,63,56,Adana,5,94093,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %49, arka-grup %24, on-grup %22, onde %5.",27/55 (49%) | 13/55 (24%) | 12/55 (22%) | 3/55 (5%),,,3.12,https://yenibeygir.com/at/94093/kutadgu,bulundu
KÖYCÜ BEY,,7.18,2000,Kum,60,56.3,İzmir,4,99311,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %48, on-grup %24, onde %0.",9/33 (27%) | 16/33 (48%) | 8/33 (24%) | 0/33 (0%),,,3.38,https://yenibeygir.com/at/99311/koycu-bey,bulundu
BÜYÜK MENDERES,,7.28,2100,Kum,58,57.6,Bursa,8,94059,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %35, arka-grup %38, on-grup %26, onde %0.",12/34 (35%) | 13/34 (38%) | 9/34 (26%) | 0/34 (0%),,X,8.00,https://yenibeygir.com/at/94059/buyuk-menderes,bulundu
STEPHENSON,,7.42,1300,Kum,56,58,Bursa,11,99973,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %23, on-grup %54, onde %23.",0/13 (0%) | 3/13 (23%) | 7/13 (54%) | 3/13 (23%),Nem,X,7.92,https://yenibeygir.com/at/99973/stephenson,bulundu
BİBA AĞA,,7.48,1300,Kum,53.5,56,Bursa,12,98822,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %37, arka-grup %42, on-grup %21, onde %0.",7/19 (37%) | 8/19 (42%) | 4/19 (21%) | 0/19 (0%),,X,6.43,https://yenibeygir.com/at/98822/biba-aga,bulundu
,5. Koşu,,,,,,,,,,,,,,,,,
LADY ONAT,,6.43,1200,Kum,56,58,İzmir,10,103693,Sprinter,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %50, arka-grup %0, on-grup %0, onde %50.",1/2 (50%) | 0/2 (0%) | 0/2 (0%) | 1/2 (50%),,,0.15,https://yenibeygir.com/at/103693/lady-onat,bulundu
GECE İZ,,6.45,1400,Kum,53,56,Bursa,9,105048,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %38, on-grup %62, onde %0.",0/8 (0%) | 3/8 (38%) | 5/8 (62%) | 0/8 (0%),,,2.23,https://yenibeygir.com/at/105048/gece-iz,bulundu
PERSIAN DIAMOND,,6.55,1400,Kum,58,58,İstanbul,4,103864,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %38, on-grup %50, onde %12.",0/8 (0%) | 3/8 (38%) | 4/8 (50%) | 1/8 (12%),,,1.74,https://yenibeygir.com/at/103864/persian-diamond,bulundu
ARSLAN KAN,,6.59,2000,Kum,54,50.1,Bursa,2,103224,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %30, arka-grup %30, on-grup %30, onde %10.",3/10 (30%) | 3/10 (30%) | 3/10 (30%) | 1/10 (10%),,,2.38,https://yenibeygir.com/at/103224/arslan-kan,bulundu
EL QUİMİCO,,6.69,1400,Sentetik,60,59,Antalya,1,103149,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %62, onde %38.",0/8 (0%) | 0/8 (0%) | 5/8 (62%) | 3/8 (38%),Isl,,2.94,https://yenibeygir.com/at/103149/el-quimico,bulundu
BAHRİYELİ ÇİKOK,,6.69,1200,Kum,56,53,Bursa,6,105298,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %0, onde %33.",1/3 (33%) | 1/3 (33%) | 0/3 (0%) | 1/3 (33%),Sulu,,4.86,https://yenibeygir.com/at/105298/bahriyeli-cikok,bulundu
KEDİ ÇOCUK,,6.70,1900,Kum,55,58.3,Bursa,3,105391,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %67, arka-grup %33, on-grup %0, onde %0.",2/3 (67%) | 1/3 (33%) | 0/3 (0%) | 0/3 (0%),Sulu,X,5.34,https://yenibeygir.com/at/105391/kedi-cocuk,bulundu
QUİEREME,,6.94,1200,Kum,58,59,Adana,5,102194,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %45, on-grup %35, onde %0.",4/20 (20%) | 9/20 (45%) | 7/20 (35%) | 0/20 (0%),Sulu,X,5.97,https://yenibeygir.com/at/102194/quiereme,bulundu
DALYA LİNA,,geçersiz,,,56,,,7,106358,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106358/dalya-lina,bulundu
EMRES GAME,,geçersiz,,,56,,,8,106590,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106590/emres-game,bulundu
,6. Koşu,,,,,,,,,,,,,,,,,
BELLICOSO,,6.39,1400,Kum,61.5,59.5,Antalya,2,94937,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %2, on-grup %37, onde %61.",0/41 (0%) | 1/41 (2%) | 15/41 (37%) | 25/41 (61%),Isl,,0.00,https://yenibeygir.com/at/94937/bellicoso,bulundu
SWORD MASTER,,6.40,1900,Kum,61.5,59.5,İzmir,3,92100,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %5, on-grup %53, onde %37.",2/38 (5%) | 2/38 (5%) | 20/38 (53%) | 14/38 (37%),,,0.24,https://yenibeygir.com/at/92100/sword-master,bulundu
OĞLUM DORUK,,6.41,1800,Kum,57.5,55.8,Bursa,6,84953,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %25, arka-grup %37, on-grup %32, onde %7.",14/57 (25%) | 21/57 (37%) | 18/57 (32%) | 4/57 (7%),Nem,,0.25,https://yenibeygir.com/at/84953/oglum-doruk,bulundu
BLAZE THUNDER,,6.43,2100,Sentetik,56,58.5,İstanbul,8,98945,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %33, on-grup %54, onde %4.",2/24 (8%) | 8/24 (33%) | 13/24 (54%) | 1/24 (4%),,,2.35,https://yenibeygir.com/at/98945/blaze-thunder,bulundu
ALONE WOLF,,6.45,1400,Kum,61.5,61,Bursa,1,96751,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %25, arka-grup %33, on-grup %42, onde %0.",6/24 (25%) | 8/24 (33%) | 10/24 (42%) | 0/24 (0%),Nem,,1.32,https://yenibeygir.com/at/96751/alone-wolf,bulundu
KOÇARSLAN,,6.45,1900,Kum,60,58,Bursa,5,100225,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %25, on-grup %58, onde %4.",3/24 (12%) | 6/24 (25%) | 14/24 (58%) | 1/24 (4%),Sulu,,0.00,https://yenibeygir.com/at/100225/kocarslan,bulundu
ŞEN AKYÜZ,,6.55,2200,Kum,57.5,57,İzmir,7,86756,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %41, on-grup %35, onde %3.",24/113 (21%) | 46/113 (41%) | 40/113 (35%) | 3/113 (3%),,,0.22,https://yenibeygir.com/at/86756/sen-akyuz,bulundu
