At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
TUTKUNLAR,,7.24,2000,Sentetik,57,53.5,İstanbul,11,97821,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %0, onde %100.",0/4 (0%) | 0/4 (0%) | 0/4 (0%) | 4/4 (100%),https://yenibeygir.com/at/97821/tutkunlar,bulundu
TRAKTÖR,,7.30,2000,Sentetik,60,58.5,İstanbul,5,95419,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %13, arka-grup %20, on-grup %52, onde %15.",6/46 (13%) | 9/46 (20%) | 24/46 (52%) | 7/46 (15%),https://yenibeygir.com/at/95419/traktor,bulundu
ESEN BATU,,7.30,1500,Sentetik,57,59,İstanbul,10,94386,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %24, arka-grup %59, on-grup %17, onde %0.",10/41 (24%) | 24/41 (59%) | 7/41 (17%) | 0/41 (0%),https://yenibeygir.com/at/94386/esen-batu,bulundu
DEKÇİ BEY,,7.71,1900,Kum,58,54.6,Bursa,7,98003,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %17, on-grup %70, onde %10.",1/30 (3%) | 5/30 (17%) | 21/30 (70%) | 3/30 (10%),https://yenibeygir.com/at/98003/dekci-bey,bulundu
KÜÇÜK MİRZA,,8.19,1400,Kum,59.5,58.1,Ankara,6,97327,Önde Kaçan,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %4, arka-grup %32, on-grup %29, onde %36.",1/28 (4%) | 9/28 (32%) | 8/28 (29%) | 10/28 (36%),https://yenibeygir.com/at/97327/kucuk-mirza,bulundu
,4. Koşu,,,,,,,,,,,,,,
ŞİMŞEK YELELİ,,6.91,1400,Sentetik,54,59,İstanbul,6,102557,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %27, arka-grup %40, on-grup %33, onde %0.",4/15 (27%) | 6/15 (40%) | 5/15 (33%) | 0/15 (0%),https://yenibeygir.com/at/102557/simsek-yeleli,bulundu
AYSERA KIZ,,7.01,1300,Sentetik,61,56,Antalya,1,102260,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %10, arka-grup %29, on-grup %57, onde %5.",2/21 (10%) | 6/21 (29%) | 12/21 (57%) | 1/21 (5%),https://yenibeygir.com/at/102260/aysera-kiz,bulundu
AYAZ DEFNE,,7.02,1400,Kum,58,55.8,İzmir,2,101854,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %26, on-grup %47, onde %0.",5/19 (26%) | 5/19 (26%) | 9/19 (47%) | 0/19 (0%),https://yenibeygir.com/at/101854/ayaz-defne,bulundu
RAZKAN,,7.02,2000,Sentetik,58,58,İstanbul,3,103451,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %50, on-grup %12, onde %0.",3/8 (38%) | 4/8 (50%) | 1/8 (12%) | 0/8 (0%),https://yenibeygir.com/at/103451/razkan,bulundu
SAKIZ ADASI,,7.08,1800,Kum,54,54,Bursa,5,102656,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %12, on-grup %50, onde %38.",0/16 (0%) | 2/16 (12%) | 8/16 (50%) | 6/16 (38%),https://yenibeygir.com/at/102656/sakiz-adasi,bulundu
ADİLE HANIM,,7.25,1300,Sentetik,54,52,İstanbul,4,102200,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %7, on-grup %80, onde %13.",0/15 (0%) | 1/15 (7%) | 12/15 (80%) | 2/15 (13%),https://yenibeygir.com/at/102200/adile-hanim,bulundu
,5. Koşu,,,,,,,,,,,,,,
RIDE THE LIGHTNING,,6.34,2000,Sentetik,56,60,İstanbul,5,94048,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %20, on-grup %71, onde %7.",1/41 (2%) | 8/41 (20%) | 29/41 (71%) | 3/41 (7%),https://yenibeygir.com/at/94048/ride-the-lightning,bulundu
DAGMAR,,6.39,2000,Sentetik,60,60,İstanbul,1,90666,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %24, arka-grup %32, on-grup %32, onde %12.",8/34 (24%) | 11/34 (32%) | 11/34 (32%) | 4/34 (12%),https://yenibeygir.com/at/90666/dagmar,bulundu
BAHRAIN,,6.48,1500,Sentetik,56,57,İstanbul,2,95747,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %25, on-grup %59, onde %12.",1/32 (3%) | 8/32 (25%) | 19/32 (59%) | 4/32 (12%),https://yenibeygir.com/at/95747/bahrain,bulundu
EAGLE KHAN,,6.48,2000,Sentetik,54,59,İstanbul,6,100848,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %14, on-grup %45, onde %32.",2/22 (9%) | 3/22 (14%) | 10/22 (45%) | 7/22 (32%),https://yenibeygir.com/at/100848/eagle-khan,bulundu
PITFALL,,6.49,1500,Sentetik,56,56,İstanbul,4,93320,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %31, on-grup %41, onde %10.",5/29 (17%) | 9/29 (31%) | 12/29 (41%) | 3/29 (10%),https://yenibeygir.com/at/93320/pitfall,bulundu
SEFAKÖYLÜ,,6.50,2000,Sentetik,54,61,İstanbul,7,99445,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/99445/sefakoylu,bulundu
HEXAGON,,6.64,2000,Kum,56,60.5,İstanbul,3,96353,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %25, arka-grup %43, on-grup %32, onde %0.",7/28 (25%) | 12/28 (43%) | 9/28 (32%) | 0/28 (0%),https://yenibeygir.com/at/96353/hexagon,bulundu
,6. Koşu,,,,,,,,,,,,,,
AMMAYAMAN,,6.16,1300,Sentetik,52,58,İstanbul,6,100868,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %18, on-grup %73, onde %0.",1/11 (9%) | 2/11 (18%) | 8/11 (73%) | 0/11 (0%),https://yenibeygir.com/at/100868/ammayaman,bulundu
LAUREATE,,6.22,1300,Sentetik,53,55.5,İstanbul,5,98128,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %23, on-grup %50, onde %14.",3/22 (14%) | 5/22 (23%) | 11/22 (50%) | 3/22 (14%),https://yenibeygir.com/at/98128/laureate,bulundu
FLEXIMAN,,6.23,1400,Kum,61,61,İzmir,1,98963,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %21, on-grup %58, onde %4.",4/24 (17%) | 5/24 (21%) | 14/24 (58%) | 1/24 (4%),https://yenibeygir.com/at/98963/fleximan,bulundu
MAGIC WEAPON,,6.23,1500,Sentetik,59,52,İstanbul,3,99801,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %35, arka-grup %47, on-grup %18, onde %0.",6/17 (35%) | 8/17 (47%) | 3/17 (18%) | 0/17 (0%),https://yenibeygir.com/at/99801/magic-weapon,bulundu
HARDOLD,,6.24,1500,Sentetik,56.5,55,İstanbul,4,94307,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %18, arka-grup %46, on-grup %36, onde %0.",5/28 (18%) | 13/28 (46%) | 10/28 (36%) | 0/28 (0%),https://yenibeygir.com/at/94307/hardold,bulundu
STRAKHOV,,6.24,1300,Sentetik,52,56.3,İstanbul,7,99218,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %13, on-grup %39, onde %39.",2/23 (9%) | 3/23 (13%) | 9/23 (39%) | 9/23 (39%),https://yenibeygir.com/at/99218/strakhov,bulundu
MAKE A FIRE,,6.28,1300,Sentetik,60.5,56,İstanbul,2,87421,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %32, arka-grup %37, on-grup %30, onde %2.",19/60 (32%) | 22/60 (37%) | 18/60 (30%) | 1/60 (2%),https://yenibeygir.com/at/87421/make-a-fire,bulundu
,7. Koşu,,,,,,,,,,,,,,
LOVE ME BATTER,,6.37,1300,Kum,51,55,Bursa,10,104964,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/2 (0%) | 0/2 (0%) | 2/2 (100%) | 0/2 (0%),https://yenibeygir.com/at/104964/love-me-batter,bulundu
TIMETEX,,6.44,1500,Sentetik,56,58,İstanbul,11,103341,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %20, on-grup %40, onde %40.",0/5 (0%) | 1/5 (20%) | 2/5 (40%) | 2/5 (40%),https://yenibeygir.com/at/103341/timetex,bulundu
HEAVEN TIME,,6.47,2000,Sentetik,58,55.2,İstanbul,3,103713,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %75, arka-grup %25, on-grup %0, onde %0.",3/4 (75%) | 1/4 (25%) | 0/4 (0%) | 0/4 (0%),https://yenibeygir.com/at/103713/heaven-time,bulundu
RAIN BEAUTY,,6.48,2000,Kum,60,58,İstanbul,5,103350,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %73, arka-grup %27, on-grup %0, onde %0.",8/11 (73%) | 3/11 (27%) | 0/11 (0%) | 0/11 (0%),https://yenibeygir.com/at/103350/rain-beauty,bulundu
LADY CLASSMAN,,6.53,1400,Kum,56,56,İstanbul,9,102170,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %40, on-grup %60, onde %0.",0/5 (0%) | 2/5 (40%) | 3/5 (60%) | 0/5 (0%),https://yenibeygir.com/at/102170/lady-classman,bulundu
CHARMING CAT,,6.54,1300,Kum,56,58,İstanbul,7,104902,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",1/3 (33%) | 1/3 (33%) | 1/3 (33%) | 0/3 (0%),https://yenibeygir.com/at/104902/charming-cat,bulundu
LEGACY OF HENRY,,6.55,2000,Sentetik,58,58,İstanbul,4,104472,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/3 (0%) | 1/3 (33%) | 2/3 (67%) | 0/3 (0%),https://yenibeygir.com/at/104472/legacy-of-henry,bulundu
FOMO,,6.56,2000,Sentetik,53,56,İstanbul,8,105120,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %50, arka-grup %25, on-grup %25, onde %0.",2/4 (50%) | 1/4 (25%) | 1/4 (25%) | 0/4 (0%),https://yenibeygir.com/at/105120/fomo,bulundu
DANCING KING,,6.59,1600,Çim,58,57,İstanbul,1,103797,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %75, on-grup %0, onde %0.",1/4 (25%) | 3/4 (75%) | 0/4 (0%) | 0/4 (0%),https://yenibeygir.com/at/103797/dancing-king,bulundu
GILMOUR,,6.60,1400,Kum,58,58,Antalya,2,103844,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %67, onde %33.",0/3 (0%) | 0/3 (0%) | 2/3 (67%) | 1/3 (33%),https://yenibeygir.com/at/103844/gilmour,bulundu
ALİN SULTAN,,6.60,1200,Kum,56,58,Adana,6,105149,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %100, arka-grup %0, on-grup %0, onde %0.",1/1 (100%) | 0/1 (0%) | 0/1 (0%) | 0/1 (0%),https://yenibeygir.com/at/105149/alin-sultan,bulundu
,8. Koşu,,,,,,,,,,,,,,
ATİLLABEY,,7.02,2200,Sentetik,51.5,56.2,İstanbul,5,102773,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %7, on-grup %73, onde %13.",1/15 (7%) | 1/15 (7%) | 11/15 (73%) | 2/15 (13%),https://yenibeygir.com/at/102773/atillabey,bulundu
ABDİ BABA,,7.07,2100,Sentetik,50,60.5,Antalya,12,97309,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %43, on-grup %29, onde %0.",4/14 (29%) | 6/14 (43%) | 4/14 (29%) | 0/14 (0%),https://yenibeygir.com/at/97309/abdi-baba,bulundu
BARAN REİS,,7.12,2000,Sentetik,50.5,55.3,İstanbul,11,94511,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %24, on-grup %61, onde %6.",5/62 (8%) | 15/62 (24%) | 38/62 (61%) | 4/62 (6%),https://yenibeygir.com/at/94511/baran-reis,bulundu
EFE METE BEY,,7.14,1300,Kum,53,58,Bursa,7,97411,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %12, on-grup %67, onde %21.",0/48 (0%) | 6/48 (12%) | 32/48 (67%) | 10/48 (21%),https://yenibeygir.com/at/97411/efe-mete-bey,bulundu
ATAMANBEY,,7.16,2200,Sentetik,51.5,61,İstanbul,4,101645,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %35, arka-grup %47, on-grup %12, onde %6.",6/17 (35%) | 8/17 (47%) | 2/17 (12%) | 1/17 (6%),https://yenibeygir.com/at/101645/atamanbey,bulundu
LAZFATİH,,7.19,1400,Sentetik,61,60,İstanbul,1,90741,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %18, on-grup %75, onde %3.",2/65 (3%) | 12/65 (18%) | 49/65 (75%) | 2/65 (3%),https://yenibeygir.com/at/90741/lazfatih,bulundu
LAZMAN,,7.19,2000,Sentetik,51.5,53.7,İstanbul,9,97289,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %18, on-grup %59, onde %18.",2/44 (5%) | 8/44 (18%) | 26/44 (59%) | 8/44 (18%),https://yenibeygir.com/at/97289/lazman,bulundu
ÖZTUĞ,,7.23,1300,Sentetik,53.5,58,Antalya,3,102759,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %52, on-grup %30, onde %0.",5/27 (19%) | 14/27 (52%) | 8/27 (30%) | 0/27 (0%),https://yenibeygir.com/at/102759/oztug,bulundu
LEONİDAS,,7.24,1400,Sentetik,53.5,52.6,İstanbul,6,85551,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %36, on-grup %42, onde %6.",20/121 (17%) | 43/121 (36%) | 51/121 (42%) | 7/121 (6%),https://yenibeygir.com/at/85551/leonidas,bulundu
GÖKTUĞTAY,,7.25,1400,Sentetik,52.5,52.3,İstanbul,8,93903,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %48, on-grup %15, onde %3.",11/33 (33%) | 16/33 (48%) | 5/33 (15%) | 1/33 (3%),https://yenibeygir.com/at/93903/goktugtay,bulundu
KÖKŞUBAR,,7.26,2100,Kum,50,58,İstanbul,14,99498,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %48, on-grup %26, onde %0.",8/31 (26%) | 15/31 (48%) | 8/31 (26%) | 0/31 (0%),https://yenibeygir.com/at/99498/koksubar,bulundu
ÖZGÜR FURKAN,,7.27,2000,Sentetik,58.5,59,İstanbul,2,99925,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %4, arka-grup %7, on-grup %32, onde %57.",1/28 (4%) | 2/28 (7%) | 9/28 (32%) | 16/28 (57%),https://yenibeygir.com/at/99925/ozgur-furkan,bulundu
ÖZGÜNSTONE,,7.57,2000,Sentetik,50,53.2,İstanbul,13,76695,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %73, arka-grup %22, on-grup %5, onde %0.",44/60 (73%) | 13/60 (22%) | 3/60 (5%) | 0/60 (0%),https://yenibeygir.com/at/76695/ozgunstone,bulundu
SANPMAN,,7.89,1300,Kum,52,57,Bursa,10,97622,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %3, arka-grup %9, on-grup %31, onde %57.",1/35 (3%) | 3/35 (9%) | 11/35 (31%) | 20/35 (57%),https://yenibeygir.com/at/97622/sanpman,bulundu
