at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
2,DRECARİ,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %0, onde %100.",0/2 (0%) | 0/2 (0%) | 0/2 (0%) | 2/2 (100%),0/2 (0%),0/2 (0%),0/2 (0%),2/2 (100%),,,0.00,https://yenibeygir.com/at/105061/drecari,105061
3,RASİM HAN,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %22, on-grup %44, onde %33.",0/9 (0%) | 2/9 (22%) | 4/9 (44%) | 3/9 (33%),0/9 (0%),2/9 (22%),4/9 (44%),3/9 (33%),,,1.45,https://yenibeygir.com/at/101863/rasim-han,101863
4,KOPAL,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %0, on-grup %33, onde %50.",1/6 (17%) | 0/6 (0%) | 2/6 (33%) | 3/6 (50%),1/6 (17%),0/6 (0%),2/6 (33%),3/6 (50%),,,2.15,https://yenibeygir.com/at/103359/kopal,103359
5,VAŞAK KIZ,Karakteri Belli Değil,,"4 stil kutucugu birbirine cok yakin. Dagilim: arkada %30, arka-grup %30, on-grup %20, onde %20.",3/10 (30%) | 3/10 (30%) | 2/10 (20%) | 2/10 (20%),3/10 (30%),3/10 (30%),2/10 (20%),2/10 (20%),,X,6.21,https://yenibeygir.com/at/104356/vasak-kiz,104356
1,FEARLESS DRAGON,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %17, on-grup %50, onde %33.",0/6 (0%) | 1/6 (17%) | 3/6 (50%) | 2/6 (33%),0/6 (0%),1/6 (17%),3/6 (50%),2/6 (33%),,,0.60,https://yenibeygir.com/at/104742/fearless-dragon,104742
2,SECRET FLIGHT,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %10, on-grup %50, onde %40.",0/10 (0%) | 1/10 (10%) | 5/10 (50%) | 4/10 (40%),0/10 (0%),1/10 (10%),5/10 (50%),4/10 (40%),,,0.00,https://yenibeygir.com/at/102279/secret-flight,102279
3,SİGUEME,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %14, on-grup %43, onde %43.",0/28 (0%) | 4/28 (14%) | 12/28 (43%) | 12/28 (43%),0/28 (0%),4/28 (14%),12/28 (43%),12/28 (43%),,,1.95,https://yenibeygir.com/at/102198/sigueme,102198
4,BLUEBACK,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %67, on-grup %17, onde %0.",1/6 (17%) | 4/6 (67%) | 1/6 (17%) | 0/6 (0%),1/6 (17%),4/6 (67%),1/6 (17%),0/6 (0%),,,2.57,https://yenibeygir.com/at/104416/blueback,104416
5,HIGH GROUND,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %50, onde %50.",0/2 (0%) | 0/2 (0%) | 1/2 (50%) | 1/2 (50%),0/2 (0%),0/2 (0%),1/2 (50%),1/2 (50%),,,0.00,https://yenibeygir.com/at/104092/high-ground,104092
1,ASLAN KILICI,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %35, on-grup %58, onde %0.",2/31 (6%) | 11/31 (35%) | 18/31 (58%) | 0/31 (0%),2/31 (6%),11/31 (35%),18/31 (58%),0/31 (0%),,,0.64,https://yenibeygir.com/at/98551/aslan-kilici,98551
