at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
8,GHOSHA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/106987/ghosha,106987
9,LEYDİ STARK,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105664/leydi-stark,105664
1,BAYBARS HAN,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %35, on-grup %50, onde %3.",4/34 (12%) | 12/34 (35%) | 17/34 (50%) | 1/34 (3%),4/34 (12%),12/34 (35%),17/34 (50%),1/34 (3%),https://yenibeygir.com/at/95170/baybars-han,95170
2,EMİN AMCA,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %46, on-grup %28, onde %0.",23/87 (26%) | 40/87 (46%) | 24/87 (28%) | 0/87 (0%),23/87 (26%),40/87 (46%),24/87 (28%),0/87 (0%),https://yenibeygir.com/at/86549/emin-amca,86549
3,GRAND SUN,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %38, on-grup %41, onde %2.",12/63 (19%) | 24/63 (38%) | 26/63 (41%) | 1/63 (2%),12/63 (19%),24/63 (38%),26/63 (41%),1/63 (2%),https://yenibeygir.com/at/88248/grand-sun,88248
4,KING OVA,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %46, on-grup %43, onde %0.",8/74 (11%) | 34/74 (46%) | 32/74 (43%) | 0/74 (0%),8/74 (11%),34/74 (46%),32/74 (43%),0/74 (0%),https://yenibeygir.com/at/82005/king-ova,82005
5,MEMORY REMAINS,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %24, arka-grup %43, on-grup %31, onde %2.",10/42 (24%) | 18/42 (43%) | 13/42 (31%) | 1/42 (2%),10/42 (24%),18/42 (43%),13/42 (31%),1/42 (2%),https://yenibeygir.com/at/92728/memory-remains,92728
6,PIRATE OF THE SEA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %17, on-grup %58, onde %22.",1/36 (3%) | 6/36 (17%) | 21/36 (58%) | 8/36 (22%),1/36 (3%),6/36 (17%),21/36 (58%),8/36 (22%),https://yenibeygir.com/at/96960/pirate-of-the-sea,96960
7,TRIBAL CHIEF,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %27, arka-grup %42, on-grup %31, onde %0.",7/26 (27%) | 11/26 (42%) | 8/26 (31%) | 0/26 (0%),7/26 (27%),11/26 (42%),8/26 (31%),0/26 (0%),https://yenibeygir.com/at/102443/tribal-chief,102443
8,WAR COMANDER,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %30, arka-grup %30, on-grup %33, onde %6.",10/33 (30%) | 10/33 (30%) | 11/33 (33%) | 2/33 (6%),10/33 (30%),10/33 (30%),11/33 (33%),2/33 (6%),https://yenibeygir.com/at/93325/war-comander,93325
