at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
5,GENÇ MİMAR,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %6, on-grup %34, onde %51.",8/86 (9%) | 5/86 (6%) | 29/86 (34%) | 44/86 (51%),8/86 (9%),5/86 (6%),29/86 (34%),44/86 (51%),https://yenibeygir.com/at/81535/genc-mimar,81535
6,GEWRE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %10, on-grup %80, onde %10.",0/10 (0%) | 1/10 (10%) | 8/10 (80%) | 1/10 (10%),0/10 (0%),1/10 (10%),8/10 (80%),1/10 (10%),https://yenibeygir.com/at/104408/gewre,104408
7,BAĞNI ÇİÇEK,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %28, arka-grup %40, on-grup %30, onde %2.",11/40 (28%) | 16/40 (40%) | 12/40 (30%) | 1/40 (2%),11/40 (28%),16/40 (40%),12/40 (30%),1/40 (2%),https://yenibeygir.com/at/99163/bagni-cicek,99163
8,GECE GÜZELİ,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %30, arka-grup %20, on-grup %50, onde %0.",3/10 (30%) | 2/10 (20%) | 5/10 (50%) | 0/10 (0%),3/10 (30%),2/10 (20%),5/10 (50%),0/10 (0%),https://yenibeygir.com/at/103131/gece-guzeli,103131
9,İLCİN HATUN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %25, on-grup %50, onde %21.",1/24 (4%) | 6/24 (25%) | 12/24 (50%) | 5/24 (21%),1/24 (4%),6/24 (25%),12/24 (50%),5/24 (21%),https://yenibeygir.com/at/96300/ilcin-hatun,96300
10,THORADA,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %38, arka-grup %12, on-grup %50, onde %0.",3/8 (38%) | 1/8 (12%) | 4/8 (50%) | 0/8 (0%),3/8 (38%),1/8 (12%),4/8 (50%),0/8 (0%),https://yenibeygir.com/at/103997/thorada,103997
11,ESRABO,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %0, on-grup %64, onde %14.",3/14 (21%) | 0/14 (0%) | 9/14 (64%) | 2/14 (14%),3/14 (21%),0/14 (0%),9/14 (64%),2/14 (14%),https://yenibeygir.com/at/98636/esrabo,98636
12,AKSU NEHİR,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %1, arka-grup %12, on-grup %77, onde %9.",1/97 (1%) | 12/97 (12%) | 75/97 (77%) | 9/97 (9%),1/97 (1%),12/97 (12%),75/97 (77%),9/97 (9%),https://yenibeygir.com/at/89605/aksu-nehir,89605
13,KOVAN,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %50, on-grup %43, onde %0.",1/14 (7%) | 7/14 (50%) | 6/14 (43%) | 0/14 (0%),1/14 (7%),7/14 (50%),6/14 (43%),0/14 (0%),https://yenibeygir.com/at/99631/kovan,99631
14,İZ ENDER,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %43, arka-grup %43, on-grup %14, onde %0.",3/7 (43%) | 3/7 (43%) | 1/7 (14%) | 0/7 (0%),3/7 (43%),3/7 (43%),1/7 (14%),0/7 (0%),https://yenibeygir.com/at/103226/iz-ender,103226
15,MEŞE PALAMUDU,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %42, arka-grup %35, on-grup %23, onde %0.",11/26 (42%) | 9/26 (35%) | 6/26 (23%) | 0/26 (0%),11/26 (42%),9/26 (35%),6/26 (23%),0/26 (0%),https://yenibeygir.com/at/101565/mese-palamudu,101565
16,NEFESİMOL,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %50, on-grup %33, onde %0.",3/18 (17%) | 9/18 (50%) | 6/18 (33%) | 0/18 (0%),3/18 (17%),9/18 (50%),6/18 (33%),0/18 (0%),https://yenibeygir.com/at/102565/nefesimol,102565
17,GEZGİNSOY,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %67, on-grup %0, onde %0.",1/3 (33%) | 2/3 (67%) | 0/3 (0%) | 0/3 (0%),1/3 (33%),2/3 (67%),0/3 (0%),0/3 (0%),https://yenibeygir.com/at/102293/gezginsoy,102293
1,AKYEL ABİ,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %38, on-grup %18, onde %1.",35/80 (44%) | 30/80 (38%) | 14/80 (18%) | 1/80 (1%),35/80 (44%),30/80 (38%),14/80 (18%),1/80 (1%),https://yenibeygir.com/at/94933/akyel-abi,94933
