at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
3,KARACA DÜNYA,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %32, arka-grup %46, on-grup %22, onde %0.",12/37 (32%) | 17/37 (46%) | 8/37 (22%) | 0/37 (0%),12/37 (32%),17/37 (46%),8/37 (22%),0/37 (0%),Nem,X,8.73,https://yenibeygir.com/at/98882/karaca-dunya,98882
4,KIVIRCIK MEMET,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %26, arka-grup %46, on-grup %26, onde %2.",13/50 (26%) | 23/50 (46%) | 13/50 (26%) | 1/50 (2%),13/50 (26%),23/50 (46%),13/50 (26%),1/50 (2%),Isl,,2.71,https://yenibeygir.com/at/94339/kivircik-memet,94339
5,KARYAĞDIRAN,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %28, arka-grup %28, on-grup %33, onde %11.",5/18 (28%) | 5/18 (28%) | 6/18 (33%) | 2/18 (11%),5/18 (28%),5/18 (28%),6/18 (33%),2/18 (11%),,,1.67,https://yenibeygir.com/at/97477/karyagdiran,97477
6,TOSTOS TUĞRUL,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %46, on-grup %42, onde %0.",3/26 (12%) | 12/26 (46%) | 11/26 (42%) | 0/26 (0%),3/26 (12%),12/26 (46%),11/26 (42%),0/26 (0%),,X,5.05,https://yenibeygir.com/at/102908/tostos-tugrul,102908
7,SON AKTAŞ,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %37, arka-grup %31, on-grup %31, onde %2.",19/52 (37%) | 16/52 (31%) | 16/52 (31%) | 1/52 (2%),19/52 (37%),16/52 (31%),16/52 (31%),1/52 (2%),Sulu,X,8.07,https://yenibeygir.com/at/94138/son-aktas,94138
8,Bİ ANKA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %12, on-grup %59, onde %29.",0/17 (0%) | 2/17 (12%) | 10/17 (59%) | 5/17 (29%),0/17 (0%),2/17 (12%),10/17 (59%),5/17 (29%),Nem,X,7.45,https://yenibeygir.com/at/102164/bi-anka,102164
9,KIYI,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %6, on-grup %50, onde %44.",0/16 (0%) | 1/16 (6%) | 8/16 (50%) | 7/16 (44%),0/16 (0%),1/16 (6%),8/16 (50%),7/16 (44%),,X,27.01,https://yenibeygir.com/at/102778/kiyi,102778
10,KOCA SABRİ,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %25, arka-grup %38, on-grup %38, onde %0.",4/16 (25%) | 6/16 (38%) | 6/16 (38%) | 0/16 (0%),4/16 (25%),6/16 (38%),6/16 (38%),0/16 (0%),,,0.80,https://yenibeygir.com/at/103016/koca-sabri,103016
11,MALKOÇ FATİH,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %17, on-grup %50, onde %0.",2/6 (33%) | 1/6 (17%) | 3/6 (50%) | 0/6 (0%),2/6 (33%),1/6 (17%),3/6 (50%),0/6 (0%),,,0.00,https://yenibeygir.com/at/102348/malkoc-fatih,102348
12,MUŞARDAĞI,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %33, on-grup %50, onde %0.",2/12 (17%) | 4/12 (33%) | 6/12 (50%) | 0/12 (0%),2/12 (17%),4/12 (33%),6/12 (50%),0/12 (0%),Nem,X,6.30,https://yenibeygir.com/at/101277/musardagi,101277
13,MUTWAKEL,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %86, arka-grup %14, on-grup %0, onde %0.",12/14 (86%) | 2/14 (14%) | 0/14 (0%) | 0/14 (0%),12/14 (86%),2/14 (14%),0/14 (0%),0/14 (0%),Isl,X,8.92,https://yenibeygir.com/at/101272/mutwakel,101272
14,CAN YAKUP,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %18, arka-grup %36, on-grup %36, onde %9.",2/11 (18%) | 4/11 (36%) | 4/11 (36%) | 1/11 (9%),2/11 (18%),4/11 (36%),4/11 (36%),1/11 (9%),Sulu,X,12.10,https://yenibeygir.com/at/101796/can-yakup,101796
