At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
FILIUS VENTUS,,6.47,2200,Sentetik,57,58.5,İstanbul,9,93313,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %13, arka-grup %53, on-grup %32, onde %2.",7/53 (13%) | 28/53 (53%) | 17/53 (32%) | 1/53 (2%),,,1.08,https://yenibeygir.com/at/93313/filius-ventus,bulundu
SUPERSONIC BOOM,,6.51,1500,Sentetik,60,60,İstanbul,2,99240,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %10, arka-grup %20, on-grup %20, onde %50.",1/10 (10%) | 2/10 (20%) | 2/10 (20%) | 5/10 (50%),,,1.02,https://yenibeygir.com/at/99240/supersonic-boom,bulundu
COMING RAIN,,6.52,1700,Sentetik,60,60,Antalya,1,100698,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %60, on-grup %23, onde %0.",6/35 (17%) | 21/35 (60%) | 8/35 (23%) | 0/35 (0%),,,0.66,https://yenibeygir.com/at/100698/coming-rain,bulundu
STAR AND MOON,,6.52,2000,Sentetik,52,52,İstanbul,14,96812,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %56, arka-grup %6, on-grup %31, onde %6.",9/16 (56%) | 1/16 (6%) | 5/16 (31%) | 1/16 (6%),,,0.72,https://yenibeygir.com/at/96812/star-and-moon,bulundu
DESERT POINT,,6.52,2000,Sentetik,51.4,51.3,İstanbul,17,99253,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %24, on-grup %38, onde %5.",7/21 (33%) | 5/21 (24%) | 8/21 (38%) | 1/21 (5%),,,0.68,https://yenibeygir.com/at/99253/desert-point,bulundu
TOUCH THE CLOUD,,6.53,2000,Sentetik,54.8,55,İstanbul,12,98825,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %80, arka-grup %0, on-grup %20, onde %0.",4/5 (80%) | 0/5 (0%) | 1/5 (20%) | 0/5 (0%),,,1.24,https://yenibeygir.com/at/98825/touch-the-cloud,bulundu
SARILAR KIZI,,6.53,2200,Sentetik,52.1,52.5,İstanbul,18,100982,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %53, on-grup %27, onde %0.",3/15 (20%) | 8/15 (53%) | 4/15 (27%) | 0/15 (0%),,,2.06,https://yenibeygir.com/at/100982/sarilar-kizi,bulundu
ARNAVUT KIZ,,6.60,1400,Sentetik,60.5,57.7,İstanbul,3,99617,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %5, on-grup %86, onde %9.",0/22 (0%) | 1/22 (5%) | 19/22 (86%) | 2/22 (9%),,,1.26,https://yenibeygir.com/at/99617/arnavut-kiz,bulundu
WAITING A SUNNYDAY,,6.60,1500,Sentetik,52.5,54,İstanbul,13,101030,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %64, arka-grup %18, on-grup %18, onde %0.",7/11 (64%) | 2/11 (18%) | 2/11 (18%) | 0/11 (0%),,,1.28,https://yenibeygir.com/at/101030/waiting-a-sunnyday,bulundu
GIATRES,,6.61,1500,Sentetik,59,59.5,İstanbul,4,92194,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %22, on-grup %53, onde %16.",3/32 (9%) | 7/32 (22%) | 17/32 (53%) | 5/32 (16%),,,2.44,https://yenibeygir.com/at/92194/giatres,bulundu
AUTHORITY,,6.74,2000,Sentetik,59,56,İstanbul,6,95844,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %23, on-grup %53, onde %7.",5/30 (17%) | 7/30 (23%) | 16/30 (53%) | 2/30 (7%),,,4.52,https://yenibeygir.com/at/95844/authority,bulundu
MOSKITO,,7.06,1500,Sentetik,53.6,51.9,İstanbul,16,99203,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %33, on-grup %50, onde %0.",1/6 (17%) | 2/6 (33%) | 3/6 (50%) | 0/6 (0%),,X,7.56,https://yenibeygir.com/at/99203/moskito,bulundu
,6. Koşu,,,,,,,,,,,,,,,,,
LEGENDARY MAJESTY,,5.86,1400,Kum,54,58,İstanbul,8,104930,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %29, arka-grup %14, on-grup %57, onde %0.",2/7 (29%) | 1/7 (14%) | 4/7 (57%) | 0/7 (0%),,,0.00,https://yenibeygir.com/at/104930/legendary-majesty,bulundu
JOYFUL FOREVER,,5.87,1500,Sentetik,54.8,58,İstanbul,6,103760,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %50, arka-grup %25, on-grup %0, onde %25.",2/4 (50%) | 1/4 (25%) | 0/4 (0%) | 1/4 (25%),,,0.14,https://yenibeygir.com/at/103760/joyful-forever,bulundu
SNOW LEOPARD,,5.87,1500,Sentetik,55,58,Antalya,7,102207,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %42, on-grup %25, onde %0.",4/12 (33%) | 5/12 (42%) | 3/12 (25%) | 0/12 (0%),,,0.07,https://yenibeygir.com/at/102207/snow-leopard,bulundu
HARDOX,,5.91,1400,Kum,58,61,İzmir,1,103792,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/103792/hardox,bulundu
VICTORY LANE,,5.91,1400,Kum,53.1,55.8,İstanbul,9,102158,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %17, on-grup %33, onde %50.",0/6 (0%) | 1/6 (17%) | 2/6 (33%) | 3/6 (50%),,,0.63,https://yenibeygir.com/at/102158/victory-lane,bulundu
LINARES,,5.92,1500,Sentetik,57,58,İstanbul,4,103586,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %17, on-grup %58, onde %17.",1/12 (8%) | 2/12 (17%) | 7/12 (58%) | 2/12 (17%),,,0.62,https://yenibeygir.com/at/103586/linares,bulundu
EXTENSIVE,,5.95,1400,Kum,57,55,İstanbul,3,102012,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %18, arka-grup %64, on-grup %18, onde %0.",2/11 (18%) | 7/11 (64%) | 2/11 (18%) | 0/11 (0%),,,0.44,https://yenibeygir.com/at/102012/extensive,bulundu
HİDAN,,6.16,1500,Sentetik,52,55.6,İstanbul,10,102869,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %50, onde %50.",0/4 (0%) | 0/4 (0%) | 2/4 (50%) | 2/4 (50%),,X,5.25,https://yenibeygir.com/at/102869/hidan,bulundu
WHITE WOLF,,6.35,1700,Çim,56.3,56,İzmir,5,104422,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %47, on-grup %47, onde %0.",1/15 (7%) | 7/15 (47%) | 7/15 (47%) | 0/15 (0%),"Ağır Çim (5,3)",,0.54,https://yenibeygir.com/at/104422/white-wolf,bulundu
JAZZ RUNNER,,6.56,1700,Çim,57.5,58,İzmir,2,103761,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %10, on-grup %50, onde %40.",0/10 (0%) | 1/10 (10%) | 5/10 (50%) | 4/10 (40%),"Ağır Çim (5,3)",,4.29,https://yenibeygir.com/at/103761/jazz-runner,bulundu
,7. Koşu,,,,,,,,,,,,,,,,,
WOLF RULES,,5.87,1500,Sentetik,58,56,İstanbul,7,104015,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %50, arka-grup %0, on-grup %50, onde %0.",1/2 (50%) | 0/2 (0%) | 1/2 (50%) | 0/2 (0%),,,0.00,https://yenibeygir.com/at/104015/wolf-rules,bulundu
BALLAD KING,,5.90,1400,Sentetik,59,58,İstanbul,1,103762,Karakteri Belli Değil,,"4 stil kutucugu birbirine cok yakin. Dagilim: arkada %25, arka-grup %25, on-grup %25, onde %25.",1/4 (25%) | 1/4 (25%) | 1/4 (25%) | 1/4 (25%),,,0.00,https://yenibeygir.com/at/103762/ballad-king,bulundu
PRENS LAUTARO,,5.95,1500,Sentetik,58,56.7,İstanbul,5,104875,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/2 (0%) | 1/2 (50%) | 1/2 (50%) | 0/2 (0%),,,1.35,https://yenibeygir.com/at/104875/prens-lautaro,bulundu
GOLDRAKHAN,,5.96,1500,Sentetik,58,55.9,İstanbul,3,103938,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %50, on-grup %50, onde %0.",0/4 (0%) | 2/4 (50%) | 2/4 (50%) | 0/4 (0%),,,1.30,https://yenibeygir.com/at/103938/goldrakhan,bulundu
HAVACI,,6.02,1400,Kum,58,52,Adana,4,105159,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %33, onde %67.",0/3 (0%) | 0/3 (0%) | 1/3 (33%) | 2/3 (67%),,,0.24,https://yenibeygir.com/at/105159/havaci,bulundu
DILUVIO,,6.18,1700,Sentetik,58,58,Antalya,2,102491,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %89, onde %11.",0/9 (0%) | 0/9 (0%) | 8/9 (89%) | 1/9 (11%),,X,6.25,https://yenibeygir.com/at/102491/diluvio,bulundu
TOLPER,,6.36,1700,Çim,58,58,İzmir,6,103374,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %60, onde %40.",0/5 (0%) | 0/5 (0%) | 3/5 (60%) | 2/5 (40%),"Ağır Çim (5,3)",,0.77,https://yenibeygir.com/at/103374/tolper,bulundu
,8. Koşu,,,,,,,,,,,,,,,,,
BABA BALYOZ,,geçersiz,,,57,,,1,105419,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,,https://yenibeygir.com/at/105419/baba-balyoz,bulundu
BALMEHMET,,geçersiz,,,57.1,,,2,106145,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),,,,https://yenibeygir.com/at/106145/balmehmet,bulundu
BAYDARBEY,,geçersiz,,,57,,,3,105517,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/1 (0%) | 1/1 (100%) | 0/1 (0%) | 0/1 (0%),,,,https://yenibeygir.com/at/105517/baydarbey,bulundu
BİGASİ,,geçersiz,,,57,,,4,105896,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %100, on-grup %0, onde %0.",0/1 (0%) | 1/1 (100%) | 0/1 (0%) | 0/1 (0%),,,,https://yenibeygir.com/at/105896/bigasi,bulundu
