at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
11,ÇİĞDEMGÜZELİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105994/cigdemguzeli,105994
12,İLKBAHAR KIZI,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105718/ilkbahar-kizi,105718
13,KIZIM BİNDAL,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105901/kizim-bindal,105901
14,TİLDA HANIM,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/105754/tilda-hanim,105754
1,BLACK DIVINE,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %43, arka-grup %43, on-grup %13, onde %0.",10/23 (43%) | 10/23 (43%) | 3/23 (13%) | 0/23 (0%),10/23 (43%),10/23 (43%),3/23 (13%),0/23 (0%),https://yenibeygir.com/at/102140/black-divine,102140
2,ALITALIA,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %18, on-grup %55, onde %0.",3/11 (27%) | 2/11 (18%) | 6/11 (55%) | 0/11 (0%),3/11 (27%),2/11 (18%),6/11 (55%),0/11 (0%),https://yenibeygir.com/at/103267/alitalia,103267
3,MAVERICK SHADOW,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %44, on-grup %50, onde %0.",1/16 (6%) | 7/16 (44%) | 8/16 (50%) | 0/16 (0%),1/16 (6%),7/16 (44%),8/16 (50%),0/16 (0%),https://yenibeygir.com/at/102972/maverick-shadow,102972
4,CRAZY DILDAR,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %31, on-grup %62, onde %0.",1/13 (8%) | 4/13 (31%) | 8/13 (62%) | 0/13 (0%),1/13 (8%),4/13 (31%),8/13 (62%),0/13 (0%),https://yenibeygir.com/at/102523/crazy-dildar,102523
5,ALTUNCAN,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %71, on-grup %7, onde %0.",3/14 (21%) | 10/14 (71%) | 1/14 (7%) | 0/14 (0%),3/14 (21%),10/14 (71%),1/14 (7%),0/14 (0%),https://yenibeygir.com/at/101678/altuncan,101678
6,ROTACI,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %0, on-grup %75, onde %0.",1/4 (25%) | 0/4 (0%) | 3/4 (75%) | 0/4 (0%),1/4 (25%),0/4 (0%),3/4 (75%),0/4 (0%),https://yenibeygir.com/at/103111/rotaci,103111
7,NIGHT KING,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %22, on-grup %56, onde %0.",2/9 (22%) | 2/9 (22%) | 5/9 (56%) | 0/9 (0%),2/9 (22%),2/9 (22%),5/9 (56%),0/9 (0%),https://yenibeygir.com/at/103535/night-king,103535
