At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
CRAZY DILDAR,,7.30,2100,Çim,59,55.1,Adana,4,102523,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %31, on-grup %62, onde %0.",1/13 (8%) | 4/13 (31%) | 8/13 (62%) | 0/13 (0%),https://yenibeygir.com/at/102523/crazy-dildar,bulundu
ALITALIA,,7.46,1900,Kum,60,56.2,Şanlıurfa,2,103267,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %18, on-grup %55, onde %0.",3/11 (27%) | 2/11 (18%) | 6/11 (55%) | 0/11 (0%),https://yenibeygir.com/at/103267/alitalia,bulundu
THON KHITCHIBA,,7.51,1800,Kum,57,57,Şanlıurfa,9,103924,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %42, arka-grup %8, on-grup %50, onde %0.",5/12 (42%) | 1/12 (8%) | 6/12 (50%) | 0/12 (0%),https://yenibeygir.com/at/103924/thon-khitchiba,bulundu
MAVERICK SHADOW,,7.65,2000,Kum,60,55.5,Şanlıurfa,3,102972,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %44, on-grup %50, onde %0.",1/16 (6%) | 7/16 (44%) | 8/16 (50%) | 0/16 (0%),https://yenibeygir.com/at/102972/maverick-shadow,bulundu
,5. Koşu,,,,,,,,,,,,,,
KİNG İHSAN,,6.29,1300,Kum,60,56,Şanlıurfa,5,97949,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %15, on-grup %54, onde %27.",1/26 (4%) | 4/26 (15%) | 14/26 (54%) | 7/26 (27%),https://yenibeygir.com/at/97949/king-ihsan,bulundu
ŞİMENDİFER,,6.34,1300,Kum,58,57.7,Şanlıurfa,16,94537,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %8, on-grup %61, onde %29.",1/38 (3%) | 3/38 (8%) | 23/38 (61%) | 11/38 (29%),https://yenibeygir.com/at/94537/simendifer,bulundu
DESERT FEVER,,6.56,1400,Kum,58,61,Şanlıurfa,14,96984,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %25, on-grup %61, onde %8.",2/36 (6%) | 9/36 (25%) | 22/36 (61%) | 3/36 (8%),https://yenibeygir.com/at/96984/desert-fever,bulundu
KANEKONUN TORUNU,,6.58,1400,Kum,59,56,Şanlıurfa,12,95314,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %22, on-grup %66, onde %12.",0/32 (0%) | 7/32 (22%) | 21/32 (66%) | 4/32 (12%),https://yenibeygir.com/at/95314/kanekonun-torunu,bulundu
KUTUP KIZI,,6.61,1900,Kum,62,61,Şanlıurfa,2,93593,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %68, arka-grup %25, on-grup %8, onde %0.",54/80 (68%) | 20/80 (25%) | 6/80 (8%) | 0/80 (0%),https://yenibeygir.com/at/93593/kutup-kizi,bulundu
ARTAX,,6.62,1400,Kum,59,60.5,Şanlıurfa,1,100661,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %6, arka-grup %6, on-grup %56, onde %33.",1/18 (6%) | 1/18 (6%) | 10/18 (56%) | 6/18 (33%),https://yenibeygir.com/at/100661/artax,bulundu
CAPTAIN MARSHALL,,6.64,1400,Kum,61,57,Şanlıurfa,4,96364,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %31, on-grup %62, onde %0.",2/26 (8%) | 8/26 (31%) | 16/26 (62%) | 0/26 (0%),https://yenibeygir.com/at/96364/captain-marshall,bulundu
SMART CLEM,,6.67,1900,Kum,57,58,Şanlıurfa,10,100389,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %9, on-grup %48, onde %43.",0/23 (0%) | 2/23 (9%) | 11/23 (48%) | 10/23 (43%),https://yenibeygir.com/at/100389/smart-clem,bulundu
TOWSON,,6.73,1800,Kum,58,58.1,Şanlıurfa,3,94134,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %77, onde %7.",0/60 (0%) | 10/60 (17%) | 46/60 (77%) | 4/60 (7%),https://yenibeygir.com/at/94134/towson,bulundu
NICE,,6.76,1400,Kum,58,57,Şanlıurfa,8,91138,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %20, arka-grup %46, on-grup %30, onde %4.",11/56 (20%) | 26/56 (46%) | 17/56 (30%) | 2/56 (4%),https://yenibeygir.com/at/91138/nice,bulundu
ELSAN STAR,,6.78,1400,Kum,58,55,Şanlıurfa,13,89677,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %26, on-grup %71, onde %3.",0/31 (0%) | 8/31 (26%) | 22/31 (71%) | 1/31 (3%),https://yenibeygir.com/at/89677/elsan-star,bulundu
MARCUS,,6.80,1600,Sentetik,58,57,Antalya,7,90862,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %33, on-grup %56, onde %2.",4/43 (9%) | 14/43 (33%) | 24/43 (56%) | 1/43 (2%),https://yenibeygir.com/at/90862/marcus,bulundu
YİĞİT KHAN,,6.90,1400,Kum,58,56.1,Adana,15,96744,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %20, on-grup %40, onde %40.",0/25 (0%) | 5/25 (20%) | 10/25 (40%) | 10/25 (40%),https://yenibeygir.com/at/96744/yigit-khan,bulundu
SUSTURUCU,,7.08,1400,Çim,55,54.3,Ankara,11,98593,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %14, on-grup %9, onde %68.",2/22 (9%) | 3/22 (14%) | 2/22 (9%) | 15/22 (68%),https://yenibeygir.com/at/98593/susturucu,bulundu
NİSANUR HATIRASI,,7.15,1400,Kum,59,59,Adana,6,89437,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %2, arka-grup %6, on-grup %34, onde %58.",2/98 (2%) | 6/98 (6%) | 33/98 (34%) | 57/98 (58%),https://yenibeygir.com/at/89437/nisanur-hatirasi,bulundu
SELANİK PRENSİ,,7.55,2000,Kum,58,56,İzmir,9,94875,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %38, on-grup %50, onde %0.",5/40 (12%) | 15/40 (38%) | 20/40 (50%) | 0/40 (0%),https://yenibeygir.com/at/94875/selanik-prensi,bulundu
,6. Koşu,,,,,,,,,,,,,,
KÜÇÜK BOZTEPE,,7.15,1400,Kum,55.5,58.5,Şanlıurfa,9,97797,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %5, arka-grup %12, on-grup %80, onde %2.",2/40 (5%) | 5/40 (12%) | 32/40 (80%) | 1/40 (2%),https://yenibeygir.com/at/97797/kucuk-boztepe,bulundu
YEDİKARDEŞLER,,7.18,1400,Kum,57.5,57.5,Şanlıurfa,5,97021,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %26, on-grup %58, onde %5.",5/43 (12%) | 11/43 (26%) | 25/43 (58%) | 2/43 (5%),https://yenibeygir.com/at/97021/yedikardesler,bulundu
AKOLHAN,,7.20,1400,Kum,59.5,56.5,Şanlıurfa,13,98582,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %26, on-grup %48, onde %4.",6/27 (22%) | 7/27 (26%) | 13/27 (48%) | 1/27 (4%),https://yenibeygir.com/at/98582/akolhan,bulundu
SARRAFTAY,,7.23,1400,Kum,59.5,60,Şanlıurfa,14,86016,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %37, arka-grup %40, on-grup %21, onde %1.",40/107 (37%) | 43/107 (40%) | 23/107 (21%) | 1/107 (1%),https://yenibeygir.com/at/86016/sarraftay,bulundu
PALA SALİH,,7.32,1400,Kum,56.5,58.5,Adana,4,68733,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %40, on-grup %16, onde %0.",78/177 (44%) | 71/177 (40%) | 28/177 (16%) | 0/177 (0%),https://yenibeygir.com/at/68733/pala-salih,bulundu
İLKAYOĞLU,,7.33,1200,Kum,59.5,59.5,Şanlıurfa,3,78722,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %34, on-grup %44, onde %1.",27/126 (21%) | 43/126 (34%) | 55/126 (44%) | 1/126 (1%),https://yenibeygir.com/at/78722/ilkayoglu,bulundu
AFRİKA ASLANI,,7.42,2100,Kum,55.5,61,Bursa,8,97134,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %8, arka-grup %17, on-grup %62, onde %12.",2/24 (8%) | 4/24 (17%) | 15/24 (62%) | 3/24 (12%),https://yenibeygir.com/at/97134/afrika-aslani,bulundu
AKDAĞ FIRTINASI,,7.74,1200,Kum,60.5,59.5,Şanlıurfa,1,88997,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %3, on-grup %25, onde %73.",0/73 (0%) | 2/73 (3%) | 18/73 (25%) | 53/73 (73%),https://yenibeygir.com/at/88997/akdag-firtinasi,bulundu
DUMRUL,,7.86,1200,Kum,56.5,59.5,Şanlıurfa,6,79147,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %2, on-grup %24, onde %71.",3/115 (3%) | 2/115 (2%) | 28/115 (24%) | 82/115 (71%),https://yenibeygir.com/at/79147/dumrul,bulundu
KOŞAR ZEYNEL,,7.90,1400,Kum,55.5,55,Şanlıurfa,15,90559,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %10, arka-grup %23, on-grup %58, onde %8.",8/77 (10%) | 18/77 (23%) | 45/77 (58%) | 6/77 (8%),https://yenibeygir.com/at/90559/kosar-zeynel,bulundu
SEHHAR,,8.07,1200,Kum,56.5,58,Elazığ,7,94617,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %49, onde %51.",0/49 (0%) | 0/49 (0%) | 24/49 (49%) | 25/49 (51%),https://yenibeygir.com/at/94617/sehhar,bulundu
TUĞKANTAY,,8.21,1400,Kum,55.5,60.8,Şanlıurfa,11,97433,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %17, on-grup %60, onde %21.",1/47 (2%) | 8/47 (17%) | 28/47 (60%) | 10/47 (21%),https://yenibeygir.com/at/97433/tugkantay,bulundu
ARAPÇELİK,,8.21,1400,Kum,55.5,63,Şanlıurfa,17,88998,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %32, on-grup %42, onde %12.",9/60 (15%) | 19/60 (32%) | 25/60 (42%) | 7/60 (12%),https://yenibeygir.com/at/88998/arapcelik,bulundu
AHMET AĞA,,8.21,1200,Kum,53,53.5,Elazığ,18,100033,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %8, on-grup %68, onde %24.",0/25 (0%) | 2/25 (8%) | 17/25 (68%) | 6/25 (24%),https://yenibeygir.com/at/100033/ahmet-aga,bulundu
UTKAN,,8.27,1200,Kum,55.5,59.5,Şanlıurfa,12,97060,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %28, onde %56.",0/18 (0%) | 3/18 (17%) | 5/18 (28%) | 10/18 (56%),https://yenibeygir.com/at/97060/utkan,bulundu
HIZLI MİRAN,,8.58,1800,Kum,51,57.3,Şanlıurfa,16,101349,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %9, on-grup %55, onde %27.",1/11 (9%) | 1/11 (9%) | 6/11 (55%) | 3/11 (27%),https://yenibeygir.com/at/101349/hizli-miran,bulundu
DUMAN,,9.47,1200,Kum,59.5,59.5,Elazığ,2,73630,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %39, arka-grup %45, on-grup %11, onde %5.",52/135 (39%) | 61/135 (45%) | 15/135 (11%) | 7/135 (5%),https://yenibeygir.com/at/73630/duman,bulundu
MİR KARTALI,,9.69,1400,Kum,57,59,Şanlıurfa,10,89519,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %36, on-grup %46, onde %3.",12/78 (15%) | 28/78 (36%) | 36/78 (46%) | 2/78 (3%),https://yenibeygir.com/at/89519/mir-kartali,bulundu
,7. Koşu,,,,,,,,,,,,,,
ANEMOS,,geçersiz,,,53,,,1,105464,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105464/anemos,bulundu
ASLIHANOĞLU,,geçersiz,,,57,,,2,106833,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106833/aslihanoglu,bulundu
FIRATHAN AĞASI,,geçersiz,,,57,,,3,105841,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105841/firathan-agasi,bulundu
KIRDOĞAN,,geçersiz,,,57,,,4,105685,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105685/kirdogan,bulundu
PAPETTİ,,geçersiz,,,56,,,5,105859,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105859/papetti,bulundu
STARŞAH,,geçersiz,,,57,,,6,106069,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106069/starsah,bulundu
ZOR AĞA,,geçersiz,,,57,,,7,105379,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105379/zor-aga,bulundu
AŞİNATAY,,geçersiz,,,55,,,8,105844,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105844/asinatay,bulundu
EYLÜL GÜZELİ,,geçersiz,,,55,,,9,105874,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105874/eylul-guzeli,bulundu
HÜSNÜGÜLÜM,,geçersiz,,,55,,,10,106976,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106976/husnugulum,bulundu
RENGİNKIZ,,geçersiz,,,55,,,11,106369,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106369/renginkiz,bulundu
SÖYLENMEDİ HİÇ,,geçersiz,,,55,,,12,105781,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105781/soylenmedi-hic,bulundu
ZENGHAT,,geçersiz,,,55,,,13,105473,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105473/zenghat,bulundu
,8. Koşu,,,,,,,,,,,,,,
