at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
3,MÜHÜR TAŞI,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %64, arka-grup %29, on-grup %7, onde %0.",9/14 (64%) | 4/14 (29%) | 1/14 (7%) | 0/14 (0%),9/14 (64%),4/14 (29%),1/14 (7%),0/14 (0%),https://www.yenibeygir.com/at/102334/muhur-tasi,102334
4,RODİGÜLÜ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %22, on-grup %67, onde %6.",1/18 (6%) | 4/18 (22%) | 12/18 (67%) | 1/18 (6%),1/18 (6%),4/18 (22%),12/18 (67%),1/18 (6%),https://www.yenibeygir.com/at/102642/rodigulu,102642
5,AMAN YÜREĞİM,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %27, arka-grup %45, on-grup %27, onde %0.",3/11 (27%) | 5/11 (45%) | 3/11 (27%) | 0/11 (0%),3/11 (27%),5/11 (45%),3/11 (27%),0/11 (0%),https://www.yenibeygir.com/at/101310/aman-yuregim,101310
6,ÇETONUN GÜLÜ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/1 (0%) | 0/1 (0%) | 1/1 (100%) | 0/1 (0%),0/1 (0%),0/1 (0%),1/1 (100%),0/1 (0%),https://www.yenibeygir.com/at/105254/cetonun-gulu,105254
7,GÖKNAZ ECE,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %56, on-grup %22, onde %0.",2/9 (22%) | 5/9 (56%) | 2/9 (22%) | 0/9 (0%),2/9 (22%),5/9 (56%),2/9 (22%),0/9 (0%),https://www.yenibeygir.com/at/102054/goknaz-ece,102054
8,PARLAYAN DÜŞ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %25, on-grup %75, onde %0.",0/8 (0%) | 2/8 (25%) | 6/8 (75%) | 0/8 (0%),0/8 (0%),2/8 (25%),6/8 (75%),0/8 (0%),https://www.yenibeygir.com/at/101594/parlayan-dus,101594
1,NORTH PASHA,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %58, onde %42.",0/19 (0%) | 0/19 (0%) | 11/19 (58%) | 8/19 (42%),0/19 (0%),0/19 (0%),11/19 (58%),8/19 (42%),https://www.yenibeygir.com/at/98974/north-pasha,98974
2,YES GRASYAS,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %33, on-grup %27, onde %0.",6/15 (40%) | 5/15 (33%) | 4/15 (27%) | 0/15 (0%),6/15 (40%),5/15 (33%),4/15 (27%),0/15 (0%),https://www.yenibeygir.com/at/99713/yes-grasyas,99713
3,BLACK PABLO,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %26, arka-grup %42, on-grup %32, onde %0.",5/19 (26%) | 8/19 (42%) | 6/19 (32%) | 0/19 (0%),5/19 (26%),8/19 (42%),6/19 (32%),0/19 (0%),https://www.yenibeygir.com/at/100410/black-pablo,100410
4,NIGHTFLYERS,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %15, arka-grup %7, on-grup %44, onde %33.",4/27 (15%) | 2/27 (7%) | 12/27 (44%) | 9/27 (33%),4/27 (15%),2/27 (7%),12/27 (44%),9/27 (33%),https://www.yenibeygir.com/at/97253/nightflyers,97253
