at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
8,YALNIZ BABA,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %66, arka-grup %24, on-grup %10, onde %0.",27/41 (66%) | 10/41 (24%) | 4/41 (10%) | 0/41 (0%),27/41 (66%),10/41 (24%),4/41 (10%),0/41 (0%),,X,24.27,https://yenibeygir.com/at/97816/yalniz-baba,97816
9,GAYECAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %75, onde %8.",0/53 (0%) | 9/53 (17%) | 40/53 (75%) | 4/53 (8%),0/53 (0%),9/53 (17%),40/53 (75%),4/53 (8%),,X,8.00,https://yenibeygir.com/at/93258/gayecan,93258
10,SABIR ÇİÇEĞİ,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %43, arka-grup %32, on-grup %26, onde %0.",20/47 (43%) | 15/47 (32%) | 12/47 (26%) | 0/47 (0%),20/47 (43%),15/47 (32%),12/47 (26%),0/47 (0%),Sulu,,2.05,https://yenibeygir.com/at/89871/sabir-cicegi,89871
11,DEVRİALEM,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %26, arka-grup %31, on-grup %43, onde %0.",11/42 (26%) | 13/42 (31%) | 18/42 (43%) | 0/42 (0%),11/42 (26%),13/42 (31%),18/42 (43%),0/42 (0%),,X,17.13,https://yenibeygir.com/at/93687/devrialem,93687
1,CEO ENDER,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105864/ceo-ender,105864
2,FERİTBATUR,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/106199/feritbatur,106199
3,SERHAN ATEŞİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105483/serhan-atesi,105483
4,SERÜVENTAY,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105863/seruventay,105863
5,ÖZBEK PRENSESİ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/105843/ozbek-prensesi,105843
6,VARTUHİM,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/107126/vartuhim,107126
1,CHAIN BREAKER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %13, on-grup %55, onde %23.",6/69 (9%) | 9/69 (13%) | 38/69 (55%) | 16/69 (23%),6/69 (9%),9/69 (13%),38/69 (55%),16/69 (23%),Nem,X,6.28,https://yenibeygir.com/at/88620/chain-breaker,88620
2,ANADOLU PRENSİ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %25, on-grup %56, onde %2.",8/48 (17%) | 12/48 (25%) | 27/48 (56%) | 1/48 (2%),8/48 (17%),12/48 (25%),27/48 (56%),1/48 (2%),Isl,,1.16,https://yenibeygir.com/at/96013/anadolu-prensi,96013
3,GRACİAS SİNYOR,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %10, on-grup %40, onde %45.",2/40 (5%) | 4/40 (10%) | 16/40 (40%) | 18/40 (45%),2/40 (5%),4/40 (10%),16/40 (40%),18/40 (45%),,X,5.05,https://yenibeygir.com/at/92374/gracias-sinyor,92374
4,BRO BORA,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %34, arka-grup %41, on-grup %25, onde %0.",11/32 (34%) | 13/32 (41%) | 8/32 (25%) | 0/32 (0%),11/32 (34%),13/32 (41%),8/32 (25%),0/32 (0%),,,2.42,https://yenibeygir.com/at/98119/bro-bora,98119
5,FREED,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %37, on-grup %58, onde %0.",1/19 (5%) | 7/19 (37%) | 11/19 (58%) | 0/19 (0%),1/19 (5%),7/19 (37%),11/19 (58%),0/19 (0%),,,2.93,https://yenibeygir.com/at/99525/freed,99525
6,LAST SYMPHONY,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %18, on-grup %32, onde %39.",3/28 (11%) | 5/28 (18%) | 9/28 (32%) | 11/28 (39%),3/28 (11%),5/28 (18%),9/28 (32%),11/28 (39%),,X,11.10,https://yenibeygir.com/at/99650/last-symphony,99650
7,SPEEDING BULLET,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %23, on-grup %59, onde %15.",1/39 (3%) | 9/39 (23%) | 23/39 (59%) | 6/39 (15%),1/39 (3%),9/39 (23%),23/39 (59%),6/39 (15%),,X,9.74,https://yenibeygir.com/at/97413/speeding-bullet,97413
8,ÜNLÜNÜNOĞLU,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %9, on-grup %64, onde %14.",3/22 (14%) | 2/22 (9%) | 14/22 (64%) | 3/22 (14%),3/22 (14%),2/22 (9%),14/22 (64%),3/22 (14%),,,3.65,https://yenibeygir.com/at/100024/unlununoglu,100024
9,QUIET RIVER,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %36, on-grup %56, onde %0.",2/25 (8%) | 9/25 (36%) | 14/25 (56%) | 0/25 (0%),2/25 (8%),9/25 (36%),14/25 (56%),0/25 (0%),Isl,,0.35,https://yenibeygir.com/at/98406/quiet-river,98406
1,ÇERMİKŞAH,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %25, on-grup %45, onde %10.",4/20 (20%) | 5/20 (25%) | 9/20 (45%) | 2/20 (10%),4/20 (20%),5/20 (25%),9/20 (45%),2/20 (10%),,X,14.54,https://yenibeygir.com/at/101964/cermiksah,101964
2,KAYNARHANIM,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %7, arka-grup %40, on-grup %33, onde %20.",1/15 (7%) | 6/15 (40%) | 5/15 (33%) | 3/15 (20%),1/15 (7%),6/15 (40%),5/15 (33%),3/15 (20%),,X,22.16,https://yenibeygir.com/at/101350/kaynarhanim,101350
3,CANROBİN,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %50, on-grup %21, onde %7.",3/14 (21%) | 7/14 (50%) | 3/14 (21%) | 1/14 (7%),3/14 (21%),7/14 (50%),3/14 (21%),1/14 (7%),,,3.27,https://yenibeygir.com/at/101804/canrobin,101804
4,SUSUZKURT,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %24, arka-grup %41, on-grup %35, onde %0.",4/17 (24%) | 7/17 (41%) | 6/17 (35%) | 0/17 (0%),4/17 (24%),7/17 (41%),6/17 (35%),0/17 (0%),"Hafif Çim (3,5)",,0.00,https://yenibeygir.com/at/104173/susuzkurt,104173
5,AKSU BABA,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,,,,https://yenibeygir.com/at/101538/aksu-baba,101538
6,AKSU KAAN,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %42, on-grup %47, onde %0.",2/19 (11%) | 8/19 (42%) | 9/19 (47%) | 0/19 (0%),2/19 (11%),8/19 (42%),9/19 (47%),0/19 (0%),Isl,X,12.32,https://yenibeygir.com/at/101629/aksu-kaan,101629
7,KÜÇÜK YUNUS,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %67, arka-grup %22, on-grup %11, onde %0.",12/18 (67%) | 4/18 (22%) | 2/18 (11%) | 0/18 (0%),12/18 (67%),4/18 (22%),2/18 (11%),0/18 (0%),Nem,,2.67,https://yenibeygir.com/at/101275/kucuk-yunus,101275
8,MİRZABABA,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %60, on-grup %40, onde %0.",0/5 (0%) | 3/5 (60%) | 2/5 (40%) | 0/5 (0%),0/5 (0%),3/5 (60%),2/5 (40%),0/5 (0%),,X,18.43,https://yenibeygir.com/at/103682/mirzababa,103682
9,AĞACAN KIZI,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %27, arka-grup %33, on-grup %33, onde %7.",4/15 (27%) | 5/15 (33%) | 5/15 (33%) | 1/15 (7%),4/15 (27%),5/15 (33%),5/15 (33%),1/15 (7%),,X,24.68,https://yenibeygir.com/at/102728/agacan-kizi,102728
10,UMUDUM DENİZ,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %18, arka-grup %14, on-grup %55, onde %14.",4/22 (18%) | 3/22 (14%) | 12/22 (55%) | 3/22 (14%),4/22 (18%),3/22 (14%),12/22 (55%),3/22 (14%),Isl,X,11.00,https://yenibeygir.com/at/101771/umudum-deniz,101771
11,SENUBEN,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %25, on-grup %31, onde %44.",0/16 (0%) | 4/16 (25%) | 5/16 (31%) | 7/16 (44%),0/16 (0%),4/16 (25%),5/16 (31%),7/16 (44%),Nem,X,10.77,https://yenibeygir.com/at/102713/senuben,102713
12,İLATUN,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %20, arka-grup %53, on-grup %20, onde %7.",3/15 (20%) | 8/15 (53%) | 3/15 (20%) | 1/15 (7%),3/15 (20%),8/15 (53%),3/15 (20%),1/15 (7%),,,0.00,https://yenibeygir.com/at/101731/ilatun,101731
