At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
TAÇYİĞİT,,8.95,2000,Kum,54.5,59,Antalya,4,97205,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %5, arka-grup %0, on-grup %45, onde %50.",2/40 (5%) | 0/40 (0%) | 18/40 (45%) | 20/40 (50%),,X,37.61,https://yenibeygir.com/at/97205/tacyigit,bulundu
,6. Koşu,,,,,,,,,,,,,,,,,
DRAGON KINGDOM,,6.39,2100,Kum,57,60,Adana,6,99980,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %31, on-grup %46, onde %12.",3/26 (12%) | 8/26 (31%) | 12/26 (46%) | 3/26 (12%),,,0.76,https://yenibeygir.com/at/99980/dragon-kingdom,bulundu
MY SARAYYERLIM,,6.41,2200,Kum,60,60,Adana,5,91632,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %4, on-grup %23, onde %74.",0/53 (0%) | 2/53 (4%) | 12/53 (23%) | 39/53 (74%),,,0.04,https://yenibeygir.com/at/91632/my-sarayyerlim,bulundu
BANDOLERO,,6.48,2000,Kum,57,61,Adana,7,99580,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %56, arka-grup %29, on-grup %16, onde %0.",25/45 (56%) | 13/45 (29%) | 7/45 (16%) | 0/45 (0%),,,0.00,https://yenibeygir.com/at/99580/bandolero,bulundu
SHINNY,,6.52,2000,Sentetik,54,57,İstanbul,8,100764,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %41, arka-grup %35, on-grup %24, onde %0.",7/17 (41%) | 6/17 (35%) | 4/17 (24%) | 0/17 (0%),,,0.00,https://yenibeygir.com/at/100764/shinny,bulundu
HOOD RIVER,,6.53,2100,Kum,61,60.1,Adana,2,100830,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %32, on-grup %20, onde %8.",10/25 (40%) | 8/25 (32%) | 5/25 (20%) | 2/25 (8%),,,3.01,https://yenibeygir.com/at/100830/hood-river,bulundu
MONEY WELL SPENT,,6.53,1900,Kum,60,57.5,Adana,4,101010,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %62, onde %38.",0/13 (0%) | 0/13 (0%) | 8/13 (62%) | 5/13 (38%),Nem,,0.00,https://yenibeygir.com/at/101010/money-well-spent,bulundu
FROU FROU,,6.70,2100,Kum,61,60,Adana,1,100127,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %14, on-grup %24, onde %62.",0/21 (0%) | 3/21 (14%) | 5/21 (24%) | 13/21 (62%),,X,6.41,https://yenibeygir.com/at/100127/frou-frou,bulundu
PERCY JACKSON,,6.70,2100,Kum,61,60,Adana,3,100104,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %13, arka-grup %43, on-grup %39, onde %4.",3/23 (13%) | 10/23 (43%) | 9/23 (39%) | 1/23 (4%),,X,6.52,https://yenibeygir.com/at/100104/percy-jackson,bulundu
,7. Koşu,,,,,,,,,,,,,,,,,
CEZZAR BEY,,6.91,2000,Kum,59.5,59,İstanbul,3,103470,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %56, arka-grup %31, on-grup %12, onde %0.",9/16 (56%) | 5/16 (31%) | 2/16 (12%) | 0/16 (0%),,,0.40,https://yenibeygir.com/at/103470/cezzar-bey,bulundu
ÖZTAMER,,6.92,1600,Kum,60,56.5,İzmir,2,98195,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %15, arka-grup %24, on-grup %61, onde %0.",5/33 (15%) | 8/33 (24%) | 20/33 (61%) | 0/33 (0%),Sulu,,0.57,https://yenibeygir.com/at/98195/oztamer,bulundu
SAMET EFENDİ,,6.99,1400,Kum,58.5,52.8,Antalya,5,104455,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %40, arka-grup %30, on-grup %30, onde %0.",4/10 (40%) | 3/10 (30%) | 3/10 (30%) | 0/10 (0%),,,0.35,https://yenibeygir.com/at/104455/samet-efendi,bulundu
RÜZGAR DELEN,,7.06,1400,Kum,61,56,Antalya,1,97103,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %24, arka-grup %39, on-grup %37, onde %0.",12/49 (24%) | 19/49 (39%) | 18/49 (37%) | 0/49 (0%),Isl,,0.56,https://yenibeygir.com/at/97103/ruzgar-delen,bulundu
PRENSES ANCELİNA,,7.08,1400,Kum,50,51.9,Şanlıurfa,11,101406,Önde Kaçan,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %31, on-grup %31, onde %38.",0/13 (0%) | 4/13 (31%) | 4/13 (31%) | 5/13 (38%),,,2.84,https://yenibeygir.com/at/101406/prenses-ancelina,bulundu
DENİZ SAVAŞI,,7.12,2000,Kum,55.5,60.5,Antalya,7,103553,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %25, on-grup %38, onde %12.",2/8 (25%) | 2/8 (25%) | 3/8 (38%) | 1/8 (12%),,,0.97,https://yenibeygir.com/at/103553/deniz-savasi,bulundu
GAZNELİ,,7.16,1300,Kum,52.5,55,Adana,9,103748,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %11, arka-grup %22, on-grup %67, onde %0.",1/9 (11%) | 2/9 (22%) | 6/9 (67%) | 0/9 (0%),,,1.18,https://yenibeygir.com/at/103748/gazneli,bulundu
GÜLFİLİZ,,7.22,1400,Kum,59,57,Adana,4,102312,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %8, on-grup %38, onde %46.",1/13 (8%) | 1/13 (8%) | 5/13 (38%) | 6/13 (46%),,,1.14,https://yenibeygir.com/at/102312/gulfiliz,bulundu
ERSOYHAN,,7.26,1300,Kum,57,56,Antalya,6,104537,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %50, onde %50.",0/6 (0%) | 0/6 (0%) | 3/6 (50%) | 3/6 (50%),,,1.63,https://yenibeygir.com/at/104537/ersoyhan,bulundu
BYCEVHER,,7.26,1400,Kum,51,52,Adana,10,101670,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %27, on-grup %9, onde %27.",4/11 (36%) | 3/11 (27%) | 1/11 (9%) | 3/11 (27%),Sulu,,3.56,https://yenibeygir.com/at/101670/bycevher,bulundu
