At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
GEZGİNSOY,,7.43,1400,Kum,50,56.4,Bursa,17,102293,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %67, on-grup %0, onde %0.",1/3 (33%) | 2/3 (67%) | 0/3 (0%) | 0/3 (0%),https://yenibeygir.com/at/102293/gezginsoy,bulundu
GECE GÜZELİ,,7.44,1800,Kum,50.5,52.5,Bursa,8,103131,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %30, arka-grup %20, on-grup %50, onde %0.",3/10 (30%) | 2/10 (20%) | 5/10 (50%) | 0/10 (0%),https://yenibeygir.com/at/103131/gece-guzeli,bulundu
ŞEHNAZ LONGA,,7.69,1300,Kum,60,55.5,Bursa,1,94013,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %1, arka-grup %12, on-grup %74, onde %13.",1/69 (1%) | 8/69 (12%) | 51/69 (74%) | 9/69 (13%),https://yenibeygir.com/at/94013/sehnaz-longa,bulundu
İZ ENDER,,7.99,1800,Kum,50,53,Bursa,14,103226,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %43, arka-grup %43, on-grup %14, onde %0.",3/7 (43%) | 3/7 (43%) | 1/7 (14%) | 0/7 (0%),https://yenibeygir.com/at/103226/iz-ender,bulundu
DİLÇAĞ,,8.65,1800,Kum,55.5,57.5,Bursa,4,94803,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %10, arka-grup %14, on-grup %59, onde %16.",5/49 (10%) | 7/49 (14%) | 29/49 (59%) | 8/49 (16%),https://yenibeygir.com/at/94803/dilcag,bulundu
,6. Koşu,,,,,,,,,,,,,,
KAŞMİR TAY,,7.15,1400,Kum,57.5,60,Bursa,8,92984,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %44, arka-grup %38, on-grup %19, onde %0.",14/32 (44%) | 12/32 (38%) | 6/32 (19%) | 0/32 (0%),https://yenibeygir.com/at/92984/kasmir-tay,bulundu
ŞAH DRAGON,,7.18,1300,Kum,57.5,60.5,Bursa,16,86072,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %33, on-grup %55, onde %0.",12/105 (11%) | 35/105 (33%) | 58/105 (55%) | 0/105 (0%),https://yenibeygir.com/at/86072/sah-dragon,bulundu
KOCATEPE,,7.22,1300,Kum,54.5,56.4,Bursa,14,96465,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %4, arka-grup %4, on-grup %37, onde %56.",1/27 (4%) | 1/27 (4%) | 10/27 (37%) | 15/27 (56%),https://yenibeygir.com/at/96465/kocatepe,bulundu
CANASİLİM,,7.25,1900,Kum,57.5,58.1,İzmir,4,98008,Sprinter,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %36, arka-grup %28, on-grup %36, onde %0.",9/25 (36%) | 7/25 (28%) | 9/25 (36%) | 0/25 (0%),https://yenibeygir.com/at/98008/canasilim,bulundu
BAŞPARMAK,,7.27,1400,Kum,57.5,57,İzmir,3,78650,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %48, arka-grup %40, on-grup %12, onde %0.",51/106 (48%) | 42/106 (40%) | 13/106 (12%) | 0/106 (0%),https://yenibeygir.com/at/78650/basparmak,bulundu
EL FURAT,,7.31,1300,Kum,57.5,60,Bursa,5,99204,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %20, on-grup %65, onde %12.",1/40 (2%) | 8/40 (20%) | 26/40 (65%) | 5/40 (12%),https://yenibeygir.com/at/99204/el-furat,bulundu
SARPER,,7.35,2000,Kum,57.5,57,Adana,9,98014,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %21, arka-grup %54, on-grup %25, onde %0.",6/28 (21%) | 15/28 (54%) | 7/28 (25%) | 0/28 (0%),https://yenibeygir.com/at/98014/sarper,bulundu
YETİM İBRAHİM,,7.36,2000,Kum,54.5,60,İzmir,10,97686,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %21, arka-grup %47, on-grup %32, onde %0.",11/53 (21%) | 25/53 (47%) | 17/53 (32%) | 0/53 (0%),https://yenibeygir.com/at/97686/yetim-ibrahim,bulundu
KARAKURT BEYİ,,7.38,1400,Sentetik,57.5,56,İstanbul,7,96094,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %22, arka-grup %51, on-grup %24, onde %2.",9/41 (22%) | 21/41 (51%) | 10/41 (24%) | 1/41 (2%),https://yenibeygir.com/at/96094/karakurt-beyi,bulundu
