month,city,played,hit,hit_rate_pct,total_gain_tl,avg_gain_per_play_tl,avg_hit_amount_tl
2025-08,Kocaeli,7,0,0.0,0.0,0.0,0.0
2025-09,Adana,6,0,0.0,0.0,0.0,0.0
2025-09,Ankara,12,0,0.0,0.0,0.0,0.0
2025-09,Bursa,9,0,0.0,0.0,0.0,0.0
2025-09,Elazig,6,0,0.0,0.0,0.0,0.0
2025-09,Istanbul,12,3,25.0,2070.65,172.55,690.22
2025-09,Izmir,8,1,12.5,308.1,38.51,308.1
2025-09,Kocaeli,5,0,0.0,0.0,0.0,0.0
2025-09,Urfa,3,0,0.0,0.0,0.0,0.0
2025-10,Adana,8,1,12.5,1391.3,173.91,1391.3
2025-10,Ankara,9,3,33.33,2949.4,327.71,983.13
2025-10,Bursa,9,0,0.0,0.0,0.0,0.0
2025-10,Elazig,4,0,0.0,0.0,0.0,0.0
2025-10,Istanbul,14,1,7.14,1228.95,87.78,1228.95
2025-10,Izmir,9,1,11.11,526.45,58.49,526.45
2025-10,Kocaeli,2,0,0.0,0.0,0.0,0.0
2025-10,Urfa,4,0,0.0,0.0,0.0,0.0
2025-11,Adana,9,1,11.11,701.7,77.97,701.7
2025-11,Ankara,5,0,0.0,0.0,0.0,0.0
2025-11,Antalya,5,1,20.0,1490.2,298.04,1490.2
2025-11,Bursa,6,1,16.67,1094.45,182.41,1094.45
2025-11,Elazig,3,0,0.0,0.0,0.0,0.0
2025-11,Istanbul,10,1,10.0,1243.6,124.36,1243.6
2025-11,Izmir,7,0,0.0,0.0,0.0,0.0
2025-11,Kocaeli,2,0,0.0,0.0,0.0,0.0
2025-11,Urfa,4,0,0.0,0.0,0.0,0.0
2025-12,Adana,11,2,18.18,2186.2,198.75,1093.1
2025-12,Antalya,7,1,14.29,1460.65,208.66,1460.65
2025-12,Bursa,3,0,0.0,0.0,0.0,0.0
2025-12,Istanbul,6,0,0.0,0.0,0.0,0.0
2025-12,Izmir,6,1,16.67,785.95,130.99,785.95
2025-12,Urfa,9,1,11.11,983.0,109.22,983.0
2026-01,Adana,10,2,20.0,1594.43,159.44,797.22
2026-01,Antalya,6,0,0.0,0.0,0.0,0.0
2026-01,Bursa,1,0,0.0,0.0,0.0,0.0
2026-01,Istanbul,8,0,0.0,0.0,0.0,0.0
2026-01,Izmir,6,2,33.33,658.74,109.79,329.37
2026-01,Urfa,4,0,0.0,0.0,0.0,0.0
2026-02,Adana,12,4,33.33,3533.36,294.45,883.34
2026-02,Antalya,7,1,14.29,1745.68,249.38,1745.68
2026-02,Bursa,3,1,33.33,1028.62,342.87,1028.62
2026-02,Istanbul,7,2,28.57,3153.06,450.44,1576.53
2026-02,Izmir,7,4,57.14,2865.49,409.36,716.37
2026-02,Urfa,5,0,0.0,0.0,0.0,0.0
2026-03,Adana,12,2,16.67,2403.49,200.29,1201.74
2026-03,Antalya,6,0,0.0,0.0,0.0,0.0
2026-03,Bursa,3,1,33.33,1049.18,349.73,1049.18
2026-03,Istanbul,6,0,0.0,0.0,0.0,0.0
2026-03,Izmir,8,3,37.5,2098.93,262.37,699.64
2026-03,Urfa,8,0,0.0,0.0,0.0,0.0
2026-04,Adana,4,1,25.0,1058.18,264.55,1058.18
2026-04,Antalya,2,1,50.0,905.87,452.94,905.87
2026-04,Bursa,1,0,0.0,0.0,0.0,0.0
2026-04,Elazig,2,0,0.0,0.0,0.0,0.0
2026-04,Istanbul,3,0,0.0,0.0,0.0,0.0
2026-04,Izmir,4,1,25.0,707.87,176.97,707.87
2026-04,Urfa,1,0,0.0,0.0,0.0,0.0
