At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
KING ALPASLAN,,geçersiz,,,57,,,2,106984,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106984/king-alpaslan,bulundu
KING OF LINGO,,geçersiz,,,57.9,,,3,106414,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106414/king-of-lingo,bulundu
KING SERGEN,,geçersiz,,,59,,,4,106985,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106985/king-sergen,bulundu
PRENS APTİ,,geçersiz,,,58.3,,,5,106248,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106248/prens-apti,bulundu
ALPERİN KIZI,,geçersiz,,,57,,,6,106986,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106986/alperin-kizi,bulundu
AŞAN STAR,,geçersiz,,,55.9,,,7,106294,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106294/asan-star,bulundu
GHOSHA,,geçersiz,,,57,,,8,106987,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/106987/ghosha,bulundu
LEYDİ STARK,,geçersiz,,,57,,,9,105664,Bilinmiyor,,Yaris stili verisi bulunamadi.,,https://yenibeygir.com/at/105664/leydi-stark,bulundu
,5. Koşu,,,,,,,,,,,,,,
DOĞANTÜRKBEYİ,,6.47,1400,Kum,60,55,Şanlıurfa,10,99415,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %4, arka-grup %18, on-grup %71, onde %7.",1/28 (4%) | 5/28 (18%) | 20/28 (71%) | 2/28 (7%),https://yenibeygir.com/at/99415/doganturkbeyi,bulundu
BAYBARS HAN,,6.65,1400,Kum,60,56.7,Antalya,1,95170,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %12, arka-grup %35, on-grup %50, onde %3.",4/34 (12%) | 12/34 (35%) | 17/34 (50%) | 1/34 (3%),https://yenibeygir.com/at/95170/baybars-han,bulundu
KEÇİKHAN,,6.65,1400,Kum,60.3,58,Antalya,12,98553,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %3, arka-grup %0, on-grup %47, onde %50.",1/32 (3%) | 0/32 (0%) | 15/32 (47%) | 16/32 (50%),https://yenibeygir.com/at/98553/kecikhan,bulundu
KING OVA,,6.68,1400,Kum,60,59,Şanlıurfa,4,82005,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %46, on-grup %43, onde %0.",8/74 (11%) | 34/74 (46%) | 32/74 (43%) | 0/74 (0%),https://yenibeygir.com/at/82005/king-ova,bulundu
PIRATE OF THE SEA,,6.75,2100,Kum,60,60,Şanlıurfa,6,96960,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %17, on-grup %58, onde %22.",1/36 (3%) | 6/36 (17%) | 21/36 (58%) | 8/36 (22%),https://yenibeygir.com/at/96960/pirate-of-the-sea,bulundu
WAR COMANDER,,6.76,2100,Kum,60,60,Şanlıurfa,8,93325,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %30, arka-grup %30, on-grup %33, onde %6.",10/33 (30%) | 10/33 (30%) | 11/33 (33%) | 2/33 (6%),https://yenibeygir.com/at/93325/war-comander,bulundu
TRIBAL CHIEF,,6.79,1200,Kum,60,63,Elazığ,7,102443,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %27, arka-grup %42, on-grup %31, onde %0.",7/26 (27%) | 11/26 (42%) | 8/26 (31%) | 0/26 (0%),https://yenibeygir.com/at/102443/tribal-chief,bulundu
KING DALAZ,,6.79,1200,Kum,60,56,Elazığ,13,99347,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %16, arka-grup %37, on-grup %47, onde %0.",3/19 (16%) | 7/19 (37%) | 9/19 (47%) | 0/19 (0%),https://yenibeygir.com/at/99347/king-dalaz,bulundu
GALLOON,,6.86,1800,Kum,60,60,Elazığ,11,98670,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %12, arka-grup %20, on-grup %56, onde %12.",3/25 (12%) | 5/25 (20%) | 14/25 (56%) | 3/25 (12%),https://yenibeygir.com/at/98670/galloon,bulundu
GRAND SUN,,6.89,1600,Kum,60,60,İzmir,3,88248,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %38, on-grup %41, onde %2.",12/63 (19%) | 24/63 (38%) | 26/63 (41%) | 1/63 (2%),https://yenibeygir.com/at/88248/grand-sun,bulundu
ATLANTIC BLACK,,6.89,1200,Kum,60,57.6,Elazığ,9,97776,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %11, on-grup %47, onde %42.",0/19 (0%) | 2/19 (11%) | 9/19 (47%) | 8/19 (42%),https://yenibeygir.com/at/97776/atlantic-black,bulundu
