at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,son_kosu_zemin_durumu,birinciden_5sn_fazla,birinciden_fark_sn,at_profili,at_id
4,DOĞUYURT,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %73, arka-grup %7, on-grup %20, onde %0.",11/15 (73%) | 1/15 (7%) | 3/15 (20%) | 0/15 (0%),11/15 (73%),1/15 (7%),3/15 (20%),0/15 (0%),,,0.53,https://yenibeygir.com/at/101229/doguyurt,101229
5,DELİ UMUT,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %11, arka-grup %44, on-grup %44, onde %0.",2/18 (11%) | 8/18 (44%) | 8/18 (44%) | 0/18 (0%),2/18 (11%),8/18 (44%),8/18 (44%),0/18 (0%),,,0.10,https://yenibeygir.com/at/102114/deli-umut,102114
6,METİNCİM,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %50, arka-grup %29, on-grup %21, onde %0.",7/14 (50%) | 4/14 (29%) | 3/14 (21%) | 0/14 (0%),7/14 (50%),4/14 (29%),3/14 (21%),0/14 (0%),,,0.00,https://yenibeygir.com/at/103823/metincim,103823
7,HERZAMAN,Önde Kaçan,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %10, onde %90.",0/10 (0%) | 0/10 (0%) | 1/10 (10%) | 9/10 (90%),0/10 (0%),0/10 (0%),1/10 (10%),9/10 (90%),,,0.00,https://yenibeygir.com/at/101677/herzaman,101677
8,ATEŞ REİSİ,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %26, arka-grup %39, on-grup %35, onde %0.",6/23 (26%) | 9/23 (39%) | 8/23 (35%) | 0/23 (0%),6/23 (26%),9/23 (39%),8/23 (35%),0/23 (0%),,,0.76,https://yenibeygir.com/at/101546/ates-reisi,101546
9,ÖZTUĞ,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %19, arka-grup %52, on-grup %30, onde %0.",5/27 (19%) | 14/27 (52%) | 8/27 (30%) | 0/27 (0%),5/27 (19%),14/27 (52%),8/27 (30%),0/27 (0%),,,0.00,https://yenibeygir.com/at/102759/oztug,102759
10,KÜÇÜKCEVER,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %0, on-grup %62, onde %31.",1/13 (8%) | 0/13 (0%) | 8/13 (62%) | 4/13 (31%),1/13 (8%),0/13 (0%),8/13 (62%),4/13 (31%),Sulu,X,10.77,https://yenibeygir.com/at/101730/kucukcever,101730
11,NUSRET OĞLU,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %44, on-grup %56, onde %0.",0/9 (0%) | 4/9 (44%) | 5/9 (56%) | 0/9 (0%),0/9 (0%),4/9 (44%),5/9 (56%),0/9 (0%),,,1.37,https://yenibeygir.com/at/102204/nusret-oglu,102204
12,NERGİSLİK TAY,Takipçi,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %31, arka-grup %31, on-grup %38, onde %0.",4/13 (31%) | 4/13 (31%) | 5/13 (38%) | 0/13 (0%),4/13 (31%),4/13 (31%),5/13 (38%),0/13 (0%),,X,13.25,https://yenibeygir.com/at/101405/nergislik-tay,101405
1,SAADIN KASIRGASI,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %60, arka-grup %29, on-grup %10, onde %1.",50/83 (60%) | 24/83 (29%) | 8/83 (10%) | 1/83 (1%),50/83 (60%),24/83 (29%),8/83 (10%),1/83 (1%),,,0.34,https://yenibeygir.com/at/93614/saadin-kasirgasi,93614
