date,year_month,weekday_no,weekday,city,city_id,label,combination,amount,amount_text,under_1750,race_count,url
2025-10-01,2025-10,2,Carsamba,Istanbul,3,1. 6'LI GANYAN,2/1/4/2/8/1,16978.75,"16.978,75 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=01%2F10%2F2025&SehirAdi=Istanbul
2025-10-02,2025-10,3,Persembe,Ankara,5,1. 6'LI GANYAN,3/1/6/1/3/3,38491.8,"38.491,80 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=02%2F10%2F2025&SehirAdi=Ankara
2025-10-02,2025-10,3,Persembe,Izmir,2,1. 6'LI GANYAN,"11/4/1/2/10/1,5",6252.95,"6.252,95 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=02%2F10%2F2025&SehirAdi=Izmir
2025-10-03,2025-10,4,Cuma,Bursa,4,1. 6'LI GANYAN,3/2/6/6/9/4,147865.1,"147.865,10 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=03%2F10%2F2025&SehirAdi=Bursa
2025-10-03,2025-10,4,Cuma,Istanbul,3,1. 6'LI GANYAN,6/4/7/1/2/5,1777.85,"1.777,85 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=03%2F10%2F2025&SehirAdi=Istanbul
2025-10-04,2025-10,5,Cumartesi,Ankara,5,1. 6'LI GANYAN,"2,4,6/2/2/4/1/11,12",1056.55,"1.056,55 ₺",1,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=5&QueryParameter_Tarih=04%2F10%2F2025&SehirAdi=Ankara
2025-10-04,2025-10,5,Cumartesi,Izmir,2,1. 6'LI GANYAN,7/1/2/1/5/4,4681.1,"4.681,10 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=2&QueryParameter_Tarih=04%2F10%2F2025&SehirAdi=Izmir
2025-10-05,2025-10,6,Pazar,Adana,1,1. 6'LI GANYAN,8/8/2/6/6/5,3731.25,"3.731,25 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=1&QueryParameter_Tarih=05%2F10%2F2025&SehirAdi=Adana
2025-10-05,2025-10,6,Pazar,Istanbul,3,1. 6'LI GANYAN,"7/1/1,2,3,4,6/6/7/7",129029.75,"129.029,75 ₺",0,9,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=3&QueryParameter_Tarih=05%2F10%2F2025&SehirAdi=Istanbul
2025-10-06,2025-10,0,Pazartesi,Bursa,4,1. 6'LI GANYAN,5/1/6/1/6/13,52386.55,"52.386,55 ₺",0,10,https://www.tjk.org/TR/YarisSever/Info/Sehir/GunlukYarisSonuclari?SehirId=4&QueryParameter_Tarih=06%2F10%2F2025&SehirAdi=Bursa
