at_no,at_adi,stil_etiketi,stil_etiketi_2,stil_aciklama,yaris_stili,yaris_stili_1,yaris_stili_2,yaris_stili_3,yaris_stili_4,at_profili,at_id
3,HEXAGON,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %25, arka-grup %43, on-grup %32, onde %0.",7/28 (25%) | 12/28 (43%) | 9/28 (32%) | 0/28 (0%),7/28 (25%),12/28 (43%),9/28 (32%),0/28 (0%),https://yenibeygir.com/at/96353/hexagon,96353
4,PITFALL,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %17, arka-grup %31, on-grup %41, onde %10.",5/29 (17%) | 9/29 (31%) | 12/29 (41%) | 3/29 (10%),5/29 (17%),9/29 (31%),12/29 (41%),3/29 (10%),https://yenibeygir.com/at/93320/pitfall,93320
5,RIDE THE LIGHTNING,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %2, arka-grup %20, on-grup %71, onde %7.",1/41 (2%) | 8/41 (20%) | 29/41 (71%) | 3/41 (7%),1/41 (2%),8/41 (20%),29/41 (71%),3/41 (7%),https://yenibeygir.com/at/94048/ride-the-lightning,94048
6,EAGLE KHAN,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %14, on-grup %45, onde %32.",2/22 (9%) | 3/22 (14%) | 10/22 (45%) | 7/22 (32%),2/22 (9%),3/22 (14%),10/22 (45%),7/22 (32%),https://yenibeygir.com/at/100848/eagle-khan,100848
7,SEFAKÖYLÜ,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,,https://yenibeygir.com/at/99445/sefakoylu,99445
1,FLEXIMAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %17, arka-grup %21, on-grup %58, onde %4.",4/24 (17%) | 5/24 (21%) | 14/24 (58%) | 1/24 (4%),4/24 (17%),5/24 (21%),14/24 (58%),1/24 (4%),https://yenibeygir.com/at/98963/fleximan,98963
2,MAKE A FIRE,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %32, arka-grup %37, on-grup %30, onde %2.",19/60 (32%) | 22/60 (37%) | 18/60 (30%) | 1/60 (2%),19/60 (32%),22/60 (37%),18/60 (30%),1/60 (2%),https://yenibeygir.com/at/87421/make-a-fire,87421
3,MAGIC WEAPON,Orta Grup,Sprinter,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %35, arka-grup %47, on-grup %18, onde %0.",6/17 (35%) | 8/17 (47%) | 3/17 (18%) | 0/17 (0%),6/17 (35%),8/17 (47%),3/17 (18%),0/17 (0%),https://yenibeygir.com/at/99801/magic-weapon,99801
4,HARDOLD,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %18, arka-grup %46, on-grup %36, onde %0.",5/28 (18%) | 13/28 (46%) | 10/28 (36%) | 0/28 (0%),5/28 (18%),13/28 (46%),10/28 (36%),0/28 (0%),https://yenibeygir.com/at/94307/hardold,94307
5,LAUREATE,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %23, on-grup %50, onde %14.",3/22 (14%) | 5/22 (23%) | 11/22 (50%) | 3/22 (14%),3/22 (14%),5/22 (23%),11/22 (50%),3/22 (14%),https://yenibeygir.com/at/98128/laureate,98128
6,AMMAYAMAN,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %9, arka-grup %18, on-grup %73, onde %0.",1/11 (9%) | 2/11 (18%) | 8/11 (73%) | 0/11 (0%),1/11 (9%),2/11 (18%),8/11 (73%),0/11 (0%),https://yenibeygir.com/at/100868/ammayaman,100868
7,STRAKHOV,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %9, arka-grup %13, on-grup %39, onde %39.",2/23 (9%) | 3/23 (13%) | 9/23 (39%) | 9/23 (39%),2/23 (9%),3/23 (13%),9/23 (39%),9/23 (39%),https://yenibeygir.com/at/99218/strakhov,99218
1,DANCING KING,Orta Grup,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %25, arka-grup %75, on-grup %0, onde %0.",1/4 (25%) | 3/4 (75%) | 0/4 (0%) | 0/4 (0%),1/4 (25%),3/4 (75%),0/4 (0%),0/4 (0%),https://yenibeygir.com/at/103797/dancing-king,103797
2,GILMOUR,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %67, onde %33.",0/3 (0%) | 0/3 (0%) | 2/3 (67%) | 1/3 (33%),0/3 (0%),0/3 (0%),2/3 (67%),1/3 (33%),https://yenibeygir.com/at/103844/gilmour,103844
3,HEAVEN TIME,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %75, arka-grup %25, on-grup %0, onde %0.",3/4 (75%) | 1/4 (25%) | 0/4 (0%) | 0/4 (0%),3/4 (75%),1/4 (25%),0/4 (0%),0/4 (0%),https://yenibeygir.com/at/103713/heaven-time,103713
4,LEGACY OF HENRY,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/3 (0%) | 1/3 (33%) | 2/3 (67%) | 0/3 (0%),0/3 (0%),1/3 (33%),2/3 (67%),0/3 (0%),https://yenibeygir.com/at/104472/legacy-of-henry,104472
5,RAIN BEAUTY,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %73, arka-grup %27, on-grup %0, onde %0.",8/11 (73%) | 3/11 (27%) | 0/11 (0%) | 0/11 (0%),8/11 (73%),3/11 (27%),0/11 (0%),0/11 (0%),https://yenibeygir.com/at/103350/rain-beauty,103350
6,ALİN SULTAN,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %100, arka-grup %0, on-grup %0, onde %0.",1/1 (100%) | 0/1 (0%) | 0/1 (0%) | 0/1 (0%),1/1 (100%),0/1 (0%),0/1 (0%),0/1 (0%),https://yenibeygir.com/at/105149/alin-sultan,105149
7,CHARMING CAT,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %33, arka-grup %33, on-grup %33, onde %0.",1/3 (33%) | 1/3 (33%) | 1/3 (33%) | 0/3 (0%),1/3 (33%),1/3 (33%),1/3 (33%),0/3 (0%),https://yenibeygir.com/at/104902/charming-cat,104902
8,FOMO,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %50, arka-grup %25, on-grup %25, onde %0.",2/4 (50%) | 1/4 (25%) | 1/4 (25%) | 0/4 (0%),2/4 (50%),1/4 (25%),1/4 (25%),0/4 (0%),https://yenibeygir.com/at/105120/fomo,105120
9,LADY CLASSMAN,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %40, on-grup %60, onde %0.",0/5 (0%) | 2/5 (40%) | 3/5 (60%) | 0/5 (0%),0/5 (0%),2/5 (40%),3/5 (60%),0/5 (0%),https://yenibeygir.com/at/102170/lady-classman,102170
10,LOVE ME BATTER,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/2 (0%) | 0/2 (0%) | 2/2 (100%) | 0/2 (0%),0/2 (0%),0/2 (0%),2/2 (100%),0/2 (0%),https://yenibeygir.com/at/104964/love-me-batter,104964
11,TIMETEX,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %20, on-grup %40, onde %40.",0/5 (0%) | 1/5 (20%) | 2/5 (40%) | 2/5 (40%),0/5 (0%),1/5 (20%),2/5 (40%),2/5 (40%),https://yenibeygir.com/at/103341/timetex,103341
