At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,At Profili,Eslesme
İSMET ABİ,,7.20,1300,Sentetik,58,58.1,Antalya,4,102835,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %33, on-grup %67, onde %0.",0/12 (0%) | 4/12 (33%) | 8/12 (67%) | 0/12 (0%),https://www.yenibeygir.com/at/102835/ismet-abi,bulundu
LİDERKATI,,7.30,2200,Kum,58,56,Adana,5,102615,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %47, onde %53.",0/17 (0%) | 0/17 (0%) | 8/17 (47%) | 9/17 (53%),https://www.yenibeygir.com/at/102615/liderkati,bulundu
,6. Koşu,,,,,,,,,,,,,,
ASLAN HATİP,,6.29,1900,Kum,59,58,Şanlıurfa,1,101357,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %7, arka-grup %20, on-grup %67, onde %7.",1/15 (7%) | 3/15 (20%) | 10/15 (67%) | 1/15 (7%),https://www.yenibeygir.com/at/101357/aslan-hatip,bulundu
MUHLİF BABA,,6.43,1400,Kum,59,58,Adana,2,102625,Takipçi,Önde Kaçan,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %8, arka-grup %15, on-grup %46, onde %31.",1/13 (8%) | 2/13 (15%) | 6/13 (46%) | 4/13 (31%),https://www.yenibeygir.com/at/102625/muhlif-baba,bulundu
SAÇANŞAH,,6.46,1300,Sentetik,59,58,Antalya,3,102407,Önde Kaçan,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %0, on-grup %38, onde %62.",0/16 (0%) | 0/16 (0%) | 6/16 (38%) | 10/16 (62%),https://www.yenibeygir.com/at/102407/sacansah,bulundu
DORUKBATUR,,6.52,1200,Çim,58,57.1,Adana,5,102060,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %0, on-grup %100, onde %0.",0/2 (0%) | 0/2 (0%) | 2/2 (100%) | 0/2 (0%),https://www.yenibeygir.com/at/102060/dorukbatur,bulundu
CESURSOY,,6.54,1400,Sentetik,58,57.5,Antalya,4,101600,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %10, on-grup %70, onde %20.",0/10 (0%) | 1/10 (10%) | 7/10 (70%) | 2/10 (20%),https://www.yenibeygir.com/at/101600/cesursoy,bulundu
ŞUKELA,,6.56,1400,Sentetik,56,56.1,Antalya,10,102347,Orta Grup,Takipçi,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %0, arka-grup %45, on-grup %36, onde %18.",0/11 (0%) | 5/11 (45%) | 4/11 (36%) | 2/11 (18%),https://www.yenibeygir.com/at/102347/sukela,bulundu
KESKİN KUŞ,,6.57,1200,Kum,56,56,Adana,9,103277,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %6, arka-grup %12, on-grup %82, onde %0.",1/17 (6%) | 2/17 (12%) | 14/17 (82%) | 0/17 (0%),https://www.yenibeygir.com/at/103277/keskin-kus,bulundu
