At İsmi,Koşu,Çıktı,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom,At No,At ID,Stil Etiketi,Stil Etiketi 2,Stil Aciklama,Yaris Stili,Son Kosu Zemin Durumu,Birinciden 5sn+,Birinciden Fark Sn,At Profili,Eslesme
,1. Koşu,,,,,,,,,,,,,,,,,
SABIR ÇİÇEĞİ,,7.95,2200,Kum,55.5,59.5,Adana,10,89871,Sprinter,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %43, arka-grup %32, on-grup %26, onde %0.",20/47 (43%) | 15/47 (32%) | 12/47 (26%) | 0/47 (0%),Sulu,,2.05,https://yenibeygir.com/at/89871/sabir-cicegi,bulundu
TARGUTAY,,8.07,1200,Kum,55,59.5,Şanlıurfa,7,93773,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %14, arka-grup %27, on-grup %53, onde %7.",8/59 (14%) | 16/59 (27%) | 31/59 (53%) | 4/59 (7%),,X,7.92,https://yenibeygir.com/at/93773/targutay,bulundu
GAYECAN,,8.17,1300,Kum,56.5,56.3,Şanlıurfa,9,93258,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %0, arka-grup %17, on-grup %75, onde %8.",0/53 (0%) | 9/53 (17%) | 40/53 (75%) | 4/53 (8%),,X,8.00,https://yenibeygir.com/at/93258/gayecan,bulundu
MUFUKCAN,,8.28,1200,Kum,57.5,57,Adana,4,91559,Takipçi,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %3, arka-grup %22, on-grup %69, onde %5.",2/59 (3%) | 13/59 (22%) | 41/59 (69%) | 3/59 (5%),,,4.20,https://yenibeygir.com/at/91559/mufukcan,bulundu
DEVRİALEM,,8.64,1400,Kum,57.5,60,Şanlıurfa,11,93687,Takipçi,Orta Grup,"Karma stil: iki farkli kosu profili belirgin gorunuyor. Dagilim: arkada %26, arka-grup %31, on-grup %43, onde %0.",11/42 (26%) | 13/42 (31%) | 18/42 (43%) | 0/42 (0%),,X,17.13,https://yenibeygir.com/at/93687/devrialem,bulundu
YALNIZ BABA,,8.88,2000,Kum,57.5,58.5,Şanlıurfa,8,97816,Sprinter,,"Genel olarak baskin stiline gore siniflandirildi. Dagilim: arkada %66, arka-grup %24, on-grup %10, onde %0.",27/41 (66%) | 10/41 (24%) | 4/41 (10%) | 0/41 (0%),,X,24.27,https://yenibeygir.com/at/97816/yalniz-baba,bulundu
,4. Koşu,,,,,,,,,,,,,,,,,
CEO ENDER,,geçersiz,,,55,,,1,105864,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105864/ceo-ender,bulundu
FERİTBATUR,,geçersiz,,,55,,,2,106199,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/106199/feritbatur,bulundu
SERHAN ATEŞİ,,geçersiz,,,55,,,3,105483,Bilinmiyor,,Yaris stili verisi bulunamadi.,,,,,https://yenibeygir.com/at/105483/serhan-atesi,bulundu
